season,regime,pure_weight,market_weight,objective
2022,close,0.25,0.75,brier
2022,moderate,0.8,0.19999999999999996,brier
2022,strong,0.25,0.75,brier
2023,close,0.25,0.75,brier
2023,moderate,0.55,0.44999999999999996,brier
2023,strong,0.25,0.75,brier
2024,close,0.25,0.75,brier
2024,moderate,0.35,0.65,brier
2024,strong,0.25,0.75,brier
2025,close,0.25,0.75,brier
2025,moderate,0.35,0.65,brier
2025,strong,0.25,0.75,brier
