home_win,season,market_prob,pure_prob,game_index
0,2022,0.47377843762281124,0.4819279542732358,2576
0,2022,0.3233821035611469,0.39964981891392076,2577
0,2022,0.5431472081218274,0.4497198841790452,2578
1,2022,0.30683501446004086,0.3671253927162789,2579
0,2022,0.7331798681594643,0.6144298555661747,2580
0,2022,0.312960235640648,0.3912961620466437,2581
0,2022,0.2775800711743772,0.3464515734706341,2582
1,2022,0.5933014354066986,0.459792348697054,2583
0,2022,0.29384534879040375,0.3021521032627674,2584
1,2022,0.5986798270759409,0.659986378983638,2585
0,2022,0.30320780070978187,0.3294297974082208,2586
1,2022,0.6265670845558816,0.5989866060409704,2587
1,2022,0.5419847328244275,0.32482864835138275,2588
0,2022,0.685385750480274,0.7535317616637472,2589
0,2022,0.4433028919330289,0.5310279514872618,2590
1,2022,0.3029704839803284,0.6374528422431706,2591
1,2022,0.6354245784596689,0.7066520271981334,2592
0,2022,0.6063931297709924,0.5127696064827097,2593
0,2022,0.6829002792370676,0.6727543473351536,2594
1,2022,0.48044542229805576,0.4669073402721888,2595
1,2022,0.4034916946651176,0.32462124712097357,2596
0,2022,0.43500511770726713,0.31407420273428266,2597
1,2022,0.48044542229805576,0.4767585529858898,2598
0,2022,0.41493775933609955,0.4197705942290082,2599
1,2022,0.8001430041331682,0.6597032734338935,2600
1,2022,0.7678386211843623,0.5252448705222001,2601
1,2022,0.26978176462712544,0.6489437424501077,2602
1,2022,0.8025629436811645,0.5687759231475586,2603
0,2022,0.6721843886695558,0.544758013712369,2604
1,2022,0.7834776815456361,0.7016478736253292,2605
1,2022,0.7739261492087415,0.6668912680413702,2606
1,2022,0.5704635785196144,0.6000877017850721,2607
1,2022,0.6557852820085941,0.583007572814945,2608
1,2022,0.46097238299983456,0.3419372161354535,2609
1,2022,0.5949110703209063,0.5336747381738058,2610
1,2022,0.35166954823988805,0.2937149826081324,2611
1,2022,0.35449101796407184,0.3818283131783707,2612
1,2022,0.7069937235814012,0.5905707063898782,2613
0,2022,0.4259645555419216,0.6036638406544165,2614
0,2022,0.3050817654299279,0.408543877134338,2615
1,2022,0.4491310290958797,0.6016263668891513,2616
0,2022,0.3136531365313653,0.3855948184833327,2617
0,2022,0.696132596685083,0.6864749987491879,2618
0,2022,0.38514560209200854,0.4808061247758726,2619
0,2022,0.5023229882921391,0.6718230615597808,2620
0,2022,0.5390276170001653,0.5842996316107212,2621
1,2022,0.489612188365651,0.39897668260268,2622
0,2022,0.5327102803738317,0.23200600887038872,2623
1,2022,0.6379977530895019,0.41324385664405194,2624
0,2022,0.35166954823988805,0.5268452258299646,2625
1,2022,0.4953533757725013,0.4350244077136981,2626
0,2022,0.3837038708949329,0.3243620742728076,2627
1,2022,0.5933014354066986,0.7058068547294282,2628
0,2022,0.6119390066215612,0.36508111687834655,2629
0,2022,0.3187935477713086,0.3738481781587726,2630
0,2022,0.6546257501981656,0.440627897365583,2631
1,2022,0.5757997218358832,0.3731496118483512,2632
1,2022,0.6990396320844041,0.6275706902443778,2633
0,2022,0.6018002898771837,0.650841845399025,2634
0,2022,0.5172913928296243,0.4123094066696195,2635
1,2022,0.7883116369247813,0.6477711486588731,2636
1,2022,0.5642421122306391,0.5412923939172913,2637
0,2022,0.5419847328244275,0.5112287385963754,2638
1,2022,0.5399277029247453,0.49020261417846706,2639
0,2022,0.6238261481421341,0.45175359558140543,2640
0,2022,0.7749165560874428,0.7478732165183941,2641
1,2022,0.8549293271728136,0.774997920776509,2642
0,2022,0.48044542229805576,0.514028738420315,2643
0,2022,0.730924978687127,0.6418039801027812,2644
1,2022,0.7701094942408874,0.639319607555245,2645
1,2022,0.5816746508332771,0.603449542440056,2646
1,2022,0.6769093283838592,0.5465898629485908,2647
1,2022,0.3966571791921516,0.2605335527836416,2648
1,2022,0.7868489845163884,0.6674957143820126,2649
0,2022,0.48837209302325585,0.32329912422435747,2650
0,2022,0.31808312064302313,0.29548628514877917,2651
0,2022,0.32886673747855216,0.4389945779408527,2652
0,2022,0.6697626418988648,0.5101761863951515,2653
1,2022,0.6114139890963924,0.5463054172086745,2654
1,2022,0.7408832128019694,0.739321642328318,2655
0,2022,0.4672897196261682,0.5662342217298483,2656
1,2022,0.36674816625916873,0.40134323520683235,2657
0,2022,0.5697382574399427,0.49409143237961206,2658
0,2022,0.7603858721020694,0.6892808623178476,2659
1,2022,0.5357590966122961,0.5722442127478277,2660
0,2022,0.3794411866160745,0.4937961231215299,2661
0,2022,0.39360687022900764,0.5007388729689043,2662
1,2022,0.31808312064302313,0.40178865744696235,2663
1,2022,0.22937728315351283,0.31346801843809285,2664
1,2022,0.7810116153488234,0.6740418600260034,2665
1,2022,0.43762053107847504,0.5794175374132671,2666
0,2022,0.4207141879874127,0.5127104494256762,2667
1,2022,0.723912553527158,0.6110361330064396,2668
1,2022,0.6336902505251294,0.6523220169496698,2669
1,2022,0.5686556434219986,0.45463351366760213,2670
1,2022,0.7174723389148571,0.5922526674631842,2671
1,2022,0.15527950310559005,0.27403193391953057,2672
1,2022,0.7098956093365133,0.5763907871754372,2673
1,2022,0.7149278269657159,0.6777131597204551,2674
0,2022,0.6069415603678434,0.45138362736479,2675
1,2022,0.5740354444580784,0.6500800827420312,2676
1,2022,0.35656010152897805,0.33713524145920376,2677
0,2022,0.453954604539546,0.4931730112007811,2678
1,2022,0.7429694587239188,0.6825504827850052,2679
0,2022,0.6679400834834022,0.5074227704439895,2680
0,2022,0.497677011707861,0.44062544714124835,2681
1,2022,0.7264615702621697,0.5705035322398305,2682
0,2022,0.7728364052746279,0.7049960476002031,2683
0,2022,0.5480494766888677,0.5890109277919927,2684
0,2022,0.5046466242274987,0.6113077757561151,2685
1,2022,0.6499104422061458,0.6531248577850925,2686
1,2022,0.7868489845163884,0.6526068768276652,2687
0,2022,0.36200224691049804,0.33669566995948885,2688
1,2022,0.648330451760112,0.6272922583377332,2689
1,2022,0.46943325045014145,0.45803728853667125,2690
