season,pure_weight,market_weight,objective,games,winner_pct,brier,log_loss
2022,0.25,0.75,brier,271,0.6568265682656826,0.21190009972507767,0.6118122284986114
2023,0.25,0.75,brier,272,0.6838235294117647,0.22090774516493408,0.6320648699727884
2024,0.25,0.75,brier,272,0.7169117647058824,0.20149452911266383,0.5909479838088115
2025,0.25,0.75,brier,272,0.6433823529411765,0.21284175019511295,0.6122707004627201
