logistic,extra_trees,xgboost,catboost,home_win,season
0.5745215387678742,0.5244329004329008,0.5298056,0.5302571548316023,1,2018
0.9112493932321355,0.6849417748917744,0.7381537,0.6609382610507886,1,2018
0.1499348337905802,0.16531111111111121,0.09486872,0.25108369608837666,0,2018
0.5035677145255092,0.49177002442002427,0.49787238,0.6018978802103595,0,2018
0.4994209495004572,0.47376919191919226,0.7386818,0.6184681464386164,1,2018
0.7208408850460463,0.5955905871905874,0.6999623,0.8260222905211995,1,2018
0.8959292714880819,0.8072228715728715,0.8470158,0.8259587344524857,1,2018
0.6705121506635333,0.6471094627594635,0.46322212,0.6675467476683035,0,2018
0.5062249818956215,0.4474344988344988,0.5644491,0.4763210731716524,0,2018
0.6780613258460255,0.6242109945609938,0.5870573,0.6773214589635508,0,2018
0.3772293127510754,0.5229676767676767,0.61366,0.5446608695764115,0,2018
0.5707083155453052,0.6851650294150293,0.7625283,0.6640203250691746,1,2018
0.361622672608853,0.4514492007992008,0.4083825,0.31894927597502815,1,2018
0.7316767552823477,0.6055269841269838,0.6658681,0.7226633642251432,1,2018
0.839947664396557,0.775596248196248,0.7430332,0.7320711638721369,0,2018
0.5384790461593365,0.4250719168460949,0.4842645,0.46402660136768353,0,2018
0.3486588603612978,0.39069076479076476,0.26837215,0.2526549720676208,1,2018
0.6577806035422131,0.684525308025308,0.8568326,0.8189284526347512,1,2018
0.12653570698096595,0.3366917554667556,0.18009344,0.28477427054124144,0,2018
0.5707853113268787,0.2457641414141416,0.2836143,0.13108352030059287,0,2018
0.8507239999137299,0.8663444444444438,0.8353213,0.8526579650203445,1,2018
0.4488907370195773,0.5489749999999998,0.46261218,0.5219351876235632,0,2018
0.847057225129403,0.5086278943278943,0.42497498,0.4182542913668001,0,2018
0.6050604134781805,0.5499621212121218,0.48691145,0.455043414030721,1,2018
0.6319375376398115,0.6278753968253966,0.6849705,0.8110503911183029,1,2018
0.8248314721832437,0.7383245199245192,0.85705155,0.8180864650200691,0,2018
0.8249919388162288,0.8061912698412691,0.8855088,0.8769026910238081,1,2018
0.550536290498563,0.6099691197691205,0.33794108,0.4580008375401073,1,2018
0.6673118953620584,0.6129899168918512,0.578565,0.5888416091300749,1,2018
0.30352579915375183,0.4152206306765129,0.51668227,0.44480330184428535,1,2018
0.7124945659142441,0.7928208513708513,0.7669152,0.7691762764453957,1,2018
0.3651574225176698,0.42169906204906227,0.34722614,0.2547616139427447,1,2018
0.398707027001297,0.40859247974247986,0.41247663,0.40084929034498584,1,2018
0.5539674710264962,0.6201309079809084,0.6343769,0.6327200967433269,0,2018
0.7955845234485517,0.6877177267177267,0.6535066,0.7297415842961543,1,2018
0.6428838708032033,0.6626398989898993,0.6488776,0.6660180802731532,1,2018
0.5434078603853026,0.5295152958152957,0.44857812,0.4088590230101209,0,2018
0.6939135390309726,0.7732259740259737,0.81800306,0.7707401881723355,0,2018
0.7845388837274331,0.8447136918636916,0.8940389,0.8875929912920024,1,2018
0.6456165418737679,0.6001761477515469,0.5963288,0.6329450282861191,1,2018
0.8761793524648526,0.9053744588744588,0.91676754,0.9048918413033075,0,2018
0.6568200655228515,0.5734847180597183,0.5245264,0.6468173627256354,1,2018
0.631488963258458,0.5560018759018759,0.7537835,0.6597017641646159,1,2018
0.6509276259724092,0.42643903318903326,0.32796144,0.40759934159838135,1,2018
0.5075057152787215,0.48622442557442574,0.54387915,0.5396558870975173,0,2018
0.6690384385657443,0.5778849927849924,0.6661598,0.6797981522099019,1,2018
0.3013367026636295,0.26893048618048637,0.3926046,0.3978343550744901,1,2018
0.5161473750117156,0.5136276334776336,0.47740048,0.529682532344673,0,2018
0.7830793045037817,0.6834634199134195,0.68026054,0.431224929891376,1,2018
0.6127486347640755,0.6791787656787658,0.69365495,0.7646302441999377,0,2018
0.33572530523267907,0.4909869408369407,0.58582264,0.5742795966233178,1,2018
0.6377903148025812,0.5058023920523922,0.5312206,0.4918612574392988,1,2018
0.6643632189801485,0.5647392135642137,0.48799098,0.5655946730970619,1,2018
0.7228310652151279,0.7448233766233764,0.85539657,0.81120380277684,0,2018
0.6718188563080595,0.7576492396492391,0.67335904,0.782054606549173,1,2018
0.7507678144304677,0.6639215284715289,0.73559093,0.7486449141346787,1,2018
0.39162506082324683,0.5288269271537005,0.60466194,0.4742869173826398,1,2018
0.1037414033610035,0.3090279051357998,0.15583873,0.1869659621222699,0,2018
0.751621930379593,0.6476445249236337,0.77121896,0.7793600554836888,1,2018
0.8264418145559045,0.6744544199761594,0.7381224,0.674158083799833,1,2018
0.29399977577837,0.3471915584415587,0.29251572,0.38933262244753225,0,2018
0.655497783728243,0.6889255411255416,0.7689207,0.7055983953462346,0,2018
0.38305083418769353,0.35807828282828275,0.38523167,0.6490263896748815,0,2018
0.8106579900641823,0.7546357586857585,0.579203,0.6686783500842721,1,2018
0.5579056808077303,0.3631847763347766,0.16251518,0.29445287980955304,1,2018
0.8169977740530193,0.8401215007215007,0.8341129,0.8096681191959039,1,2018
0.6477465635763513,0.6636743145743149,0.7062696,0.7222927173962602,1,2018
0.11568098067900068,0.10978181818181817,0.05835918,0.08223581276379435,1,2018
0.4427129572340724,0.6697126344415821,0.63849574,0.7808247098861361,1,2018
0.8179148807965196,0.6601025252525249,0.7386418,0.6828842204377796,1,2018
0.6670271710586235,0.5272783549783551,0.51702,0.5427769526703878,1,2018
0.6611892244690021,0.5588522366522368,0.54054016,0.5461450187355057,1,2018
0.7498435178562042,0.6782717646680705,0.7378401,0.744625749448515,1,2018
0.49124388086617027,0.6448272005772009,0.65540856,0.6503568931714626,0,2018
0.3901397337868956,0.3024699855699854,0.20464735,0.2024015761610871,0,2018
0.59555279422667,0.641164935064935,0.50867975,0.5511787332463147,0,2018
0.41485345488370146,0.48884672549672564,0.4856381,0.5666064599829193,1,2018
0.7123837659656823,0.7076236985236987,0.7872835,0.7667632104315866,1,2018
0.4042393596883417,0.47969514929514934,0.6666224,0.4819963351792134,0,2018
0.47478189652362196,0.5631484126984132,0.52559334,0.6222012601849772,1,2018
0.5305336699204592,0.4840792207792209,0.6515711,0.5594747710152098,0,2018
0.20321677712849584,0.291569624819625,0.20081161,0.21695829410618844,0,2018
0.5706455809577733,0.541775252525253,0.49669793,0.572786436972116,1,2018
0.3131779499441092,0.447368797868798,0.6018195,0.5866148523152798,1,2018
0.8573369471489927,0.7449708069708071,0.7309718,0.7987531817759165,1,2018
0.5991549415245253,0.49261698301698287,0.32810488,0.33875356051213745,1,2018
0.4952928997222788,0.35253190845401405,0.35790142,0.3381136241956618,0,2018
0.5218898549918864,0.47006734376734394,0.4295997,0.4736467086959554,1,2018
0.24906807741513307,0.11274213564213557,0.06260887,0.07500623277221212,0,2018
0.6274695595785813,0.5444680375180374,0.5744495,0.5543143845134695,1,2018
0.4312749513455091,0.49116386536169154,0.36608014,0.4069384582729519,0,2018
0.6296547768914343,0.4535905094905096,0.48860154,0.4231529979360127,1,2018
0.6983862436238386,0.5881359418359411,0.6729029,0.6646455006359907,1,2018
0.5202852031149837,0.5878321067821064,0.5444511,0.7068580985555075,0,2018
0.50613628305777,0.4799775058275058,0.5778091,0.4542273958478581,0,2018
0.5777345392696581,0.5000255772005768,0.42317122,0.43737171529998425,1,2018
0.564903608023707,0.5241501443001444,0.49387157,0.609800501869672,0,2018
0.5898187854729392,0.5406089965589962,0.63314813,0.487824677127379,0,2018
0.33610907295658055,0.48041272954099035,0.5400291,0.45914664321044535,0,2018
0.6696953750460828,0.6166564213564212,0.59159,0.593960186875464,0,2018
0.8656410053059215,0.6821917915417917,0.6242411,0.6675747673486028,1,2018
0.6069110923049125,0.5979401875901877,0.59183246,0.5950784746212968,0,2018
0.3274029982074213,0.25459806859806877,0.1581247,0.268398226553632,0,2018
0.5469380342760943,0.6029525464731345,0.67576355,0.5989096500246082,1,2018
0.7602711482785359,0.8007007936507939,0.81082547,0.8192357422652777,1,2018
0.7030584133135325,0.9068498556998552,0.9140523,0.9133221469517154,1,2018
0.674090821740902,0.8427172438672434,0.87228817,0.9104752205340478,1,2018
0.5592584250749258,0.6057142857142859,0.6964019,0.6476946133201852,1,2018
0.6016533046358216,0.5833073482073482,0.766083,0.6695919078057401,1,2018
0.7223917843826396,0.7138585137085134,0.7019239,0.744235323293537,1,2018
0.6534760039145872,0.511425396825397,0.53663355,0.502793444186563,1,2018
0.4353010208823464,0.6854498556998556,0.65072495,0.7128766243780997,0,2018
0.8208227668899837,0.8701042568542563,0.8895827,0.8944851432393521,1,2018
0.5440641089074892,0.5188098290598291,0.44934863,0.4574298783323111,0,2018
0.9409706640434015,0.8901772005772004,0.8161729,0.9284036135407869,1,2018
0.5535618053085656,0.5020822320771549,0.44824952,0.4348036411503405,0,2018
0.37466788230976306,0.3976627483627476,0.37063247,0.308921904180761,1,2018
0.9001473271609133,0.8702377899877894,0.9315963,0.9131030895847826,1,2018
0.6022129333149355,0.6057240259740261,0.51699716,0.6624518031434196,0,2018
0.32461300661152204,0.45213542568542536,0.46371385,0.4313349701850095,0,2018
0.22124240153354052,0.15875476190476204,0.10552867,0.1109354499985402,0,2018
0.2704448216299366,0.2932132788316665,0.41085416,0.4541814134236713,1,2018
0.5188231230205737,0.5440324952824952,0.45597532,0.5285917812498299,0,2018
0.1322035326668833,0.2966984126984126,0.20662524,0.21081488774970122,0,2018
0.8199422883258667,0.6555019480519485,0.76647854,0.6609301328839107,1,2018
0.0773050105258381,0.21103362193362193,0.109785855,0.34617873032458896,0,2018
0.6060810811464157,0.5556992784992788,0.48896015,0.4920674233701572,1,2018
0.762855960066318,0.5455429292929294,0.75792915,0.6563903722434483,1,2018
0.5912340794498846,0.5137665945165943,0.47352302,0.5285169772722723,0,2018
0.614797362991672,0.5756359862359858,0.71313745,0.6590145113096533,0,2018
0.5855361863586327,0.5399258297258296,0.5491311,0.5293120393400957,0,2018
0.5492008033147121,0.6196575945793337,0.72317696,0.7355575833017456,1,2018
0.8624011049396452,0.8514497835497832,0.8657666,0.8461072833327172,1,2018
0.6209942240233056,0.6826335930735933,0.702023,0.6733899646115726,0,2018
0.7028710417177874,0.6087402569652574,0.5934779,0.6061666271197348,1,2018
0.6936822725347319,0.6082834054834056,0.565753,0.6844082357577691,1,2018
0.40693375051652375,0.2635495670995673,0.10274977,0.22816996258902975,0,2018
0.1809150922612371,0.15956818181818178,0.062591515,0.12269836918328933,1,2018
0.6740620936065477,0.7603647019647017,0.67002714,0.6771943898961487,1,2018
0.9313425462012557,0.8480548340548338,0.8518724,0.8493510423116734,1,2018
0.6557246770490837,0.6116511904761901,0.5397312,0.49961432220672797,0,2018
0.4670514226680587,0.5176137085137085,0.5597789,0.4513035476412042,0,2018
0.36540535074008346,0.24875666847772113,0.45385367,0.38069677798207485,1,2018
0.3409541431971114,0.2750824850280962,0.2751824,0.2689018720054984,0,2018
0.7411971650105728,0.7278644300144301,0.6810978,0.7630823667072814,1,2018
0.8146767663852547,0.7804753246753249,0.70967865,0.7351963586599499,1,2018
0.7764281533080578,0.7972597402597403,0.85547936,0.82106198892669,0,2018
0.6582310372469933,0.6543096681096681,0.6888063,0.6441270779451924,0,2018
0.5076824393470867,0.6858654200871593,0.72100455,0.6842239398267446,1,2018
0.7020221877846574,0.7997945887445894,0.8728096,0.8324665866932099,0,2018
0.36748298032681226,0.35876424550532116,0.50659674,0.47480080956925286,1,2018
0.4109127491225973,0.5127804861804861,0.76350445,0.5899019608986334,1,2018
0.5424545982124366,0.5769054959533219,0.4953017,0.5552099190433485,1,2018
0.18946778196037425,0.4013786435786439,0.5193787,0.3943751738820624,0,2018
0.5865087091396383,0.5294363941613941,0.45215172,0.5326041194470595,1,2018
0.6406878663749896,0.5024713250517601,0.6006381,0.5052288463233889,0,2018
0.6121751919389571,0.6783979662494374,0.7016346,0.7107421899856866,0,2018
0.7810614754997854,0.7661474525474521,0.8749181,0.829274009008937,0,2018
0.7341662086951641,0.8603989898989897,0.78677356,0.8768731522633264,1,2018
0.5547505469505426,0.6162711399711399,0.6976799,0.7081446141085469,1,2018
0.5329369472642673,0.5542413276266215,0.6238366,0.6152327729822908,1,2018
0.5019158720994661,0.4731577922077919,0.5668019,0.5418057601335818,0,2018
0.554007702357974,0.6625891552891557,0.6976769,0.6964154044270361,1,2018
0.8535336716380103,0.9037706349206348,0.89584255,0.910052052854661,1,2018
0.7565656166827608,0.8380790509610537,0.7858334,0.7701733860354392,1,2018
0.4811982622162369,0.4986668831168832,0.22774206,0.2952512659725379,1,2018
0.7639694952489027,0.6562089355089354,0.5953118,0.5514149575564847,0,2018
0.6840775621293426,0.6310332278832277,0.7179131,0.7328875826241462,0,2018
0.18797698099709848,0.1846478354978355,0.16619913,0.16314928994260486,0,2018
0.7121462714232706,0.5719677461427463,0.70708084,0.64181035709232,1,2018
0.4266489206268496,0.5368521978021982,0.47809604,0.3301176811825847,1,2018
0.915428314242475,0.8038409812409815,0.85806525,0.8540337741000201,1,2018
0.22675981504793952,0.23869776334776338,0.24294941,0.3307006914564309,1,2018
0.6835705499240013,0.7390114718614721,0.69610274,0.6046242900330752,1,2018
0.6054698380533378,0.6105605394605396,0.79268575,0.8001130672903632,1,2018
0.534778303770514,0.6336628260628264,0.553814,0.5792521509359418,1,2018
0.19748249832054315,0.1547387445887447,0.113529116,0.08082736384615327,1,2018
0.6434893236917856,0.6352395326895331,0.72907925,0.7214369809240165,0,2018
0.21987572831388333,0.3649111111111108,0.43574464,0.31109659976940696,0,2018
0.29571549525501395,0.26915700702805967,0.16195558,0.17312435304348597,0,2018
0.8400619147770757,0.7938610389610384,0.8407953,0.8368308858492708,0,2018
