season,pure_weight,market_weight,objective,calibrator,games,winner_pct,brier,log_loss
2022,0.9,0.09999999999999998,accuracy,none,271,0.6457564575645757,0.22180074483671755,0.6342555653329469
2023,0.9,0.09999999999999998,accuracy,none,272,0.6360294117647058,0.23147682075880205,0.655055294663716
2024,0.25,0.75,accuracy,none,272,0.7242647058823529,0.2011462274248972,0.5900760655862111
2025,0.25,0.75,accuracy,none,272,0.6470588235294118,0.21269082910889445,0.6117024691954592
