pure_weight,market_weight,games,winner_pct,brier,log_loss
0.0,1.0,1087,0.6761729530818767,0.2101992905677052,0.6076472081285538
0.05,0.95,1087,0.6761729530818767,0.21041395414898426,0.6082630126416801
0.1,0.9,1087,0.6761729530818767,0.2106778809205396,0.6089854829855907
0.15000000000000002,0.85,1087,0.6761729530818767,0.21099107088237132,0.6098120564172492
0.2,0.8,1087,0.6780128794848206,0.21135352403447932,0.6107406022734915
0.25,0.75,1087,0.6752529898804048,0.21176524037686364,0.6117693713854481
0.30000000000000004,0.7,1087,0.6743330266789328,0.21222621990952428,0.612896957201897
0.35000000000000003,0.6499999999999999,1087,0.671573137074517,0.21273646263246124,0.6141222660839243
0.4,0.6,1087,0.6669733210671573,0.2132959685456745,0.6154444950092437
0.45,0.55,1087,0.6678932842686293,0.2139047376491641,0.6168631154706306
0.5,0.5,1087,0.6688132474701012,0.21456276994293,0.6183778627550178
0.55,0.44999999999999996,1087,0.6660533578656854,0.21527006542697225,0.6199887301032201
0.6000000000000001,0.3999999999999999,1087,0.6688132474701012,0.21602662410129075,0.6216959675130215
0.65,0.35,1087,0.6632934682612696,0.2168324459658856,0.6235000851894203
0.7000000000000001,0.29999999999999993,1087,0.6568537258509659,0.21768753102075683,0.6254018618903471
0.75,0.25,1087,0.6586936522539099,0.21859187926590426,0.6274023586900879
0.8,0.19999999999999996,1087,0.6577736890524379,0.21954549070132812,0.6295029390172093
0.8500000000000001,0.1499999999999999,1087,0.6522539098436062,0.2205483653270282,0.6317052962616391
0.9,0.09999999999999998,1087,0.6522539098436062,0.22160050314300467,0.6340114908499944
0.9500000000000001,0.04999999999999993,1087,0.6504139834406624,0.22270190414925742,0.6364239995586685
1.0,0.0,1087,0.6448942042318307,0.2238525683457865,0.638945781133835
