season,feature_set,games,winner_pct,brier,log_loss
2022,production_compatible,271,0.6420664206642066,0.22269875909933173,0.6368144989163288
2022,opponent_adjusted,271,0.6494464944649446,0.22358349710547182,0.6382678485176957
2022,qb_aware,271,0.6383763837638377,0.22411247210900856,0.6397918368668556
2022,opponent_adjusted_qb,271,0.6494464944649446,0.22428929187692812,0.639750305303628
2023,production_compatible,272,0.6323529411764706,0.23381992559063644,0.6604791529415809
2023,opponent_adjusted,272,0.625,0.23395656552774113,0.6611487405074156
2023,qb_aware,272,0.6139705882352942,0.23321296490104104,0.6585378412730792
2023,opponent_adjusted_qb,272,0.6286764705882353,0.23374341153510353,0.659991434804458
2024,production_compatible,272,0.6727941176470589,0.2136265629393255,0.6171876344974814
2024,opponent_adjusted,272,0.6801470588235294,0.21250296895069318,0.6146461016303674
2024,qb_aware,272,0.6985294117647058,0.21168596607063642,0.6132407716644981
2024,opponent_adjusted_qb,272,0.7022058823529411,0.21134344848597245,0.6122939383602051
2025,production_compatible,272,0.6323529411764706,0.22526078413275416,0.6412940032940128
2025,opponent_adjusted,272,0.6176470588235294,0.22739428245800725,0.6458253675970073
2025,qb_aware,272,0.6176470588235294,0.2228189280564348,0.6359063573425134
2025,opponent_adjusted_qb,272,0.625,0.2240547342410266,0.6386245154075536
