season,regime,pure_weight,market_weight,objective
2022,close,0.25,0.75,brier
2022,moderate,0.7,0.30000000000000004,brier
2022,strong,0.25,0.75,brier
2023,close,0.25,0.75,brier
2023,moderate,0.5,0.5,brier
2023,strong,0.25,0.75,brier
2024,close,0.25,0.75,brier
2024,moderate,0.3,0.7,brier
2024,strong,0.25,0.75,brier
2025,close,0.25,0.75,brier
2025,moderate,0.25,0.75,brier
2025,strong,0.25,0.75,brier
