season,pure_weight,market_weight,objective,calibrator,games,winner_pct,brier,log_loss
2022,0.8,0.19999999999999996,accuracy,none,271,0.6457564575645757,0.2182902165974665,0.6270187642748026
2023,0.3,0.7,accuracy,none,272,0.6654411764705882,0.22137458824644587,0.6330239119623592
2024,0.25,0.75,accuracy,none,272,0.7058823529411765,0.20147985132147372,0.590779806127419
2025,0.25,0.75,accuracy,none,272,0.6507352941176471,0.2128627171212234,0.6120443130065093
