game_id,season,week,gameday,gametime,away_team,home_team,spread_line,total_line,challenger_pure_home_prob,market_home_prob,challenger_final_home_prob,challenger_pick,effective_pure_weight,effective_market_weight,research_candidate,research_method,research_feature_set,challenger_version,selected_shadow_candidate,training_cutoff,training_games,training_first_season,training_last_season,training_data_sha256,stack_intercept,stack_market_logit_coefficient,stack_pure_logit_coefficient,candidate_freeze_utc,candidate_code_sha,shadow_generated_utc,shadow_source_sha
2026_03_LA_DEN,2026,3,2026-09-27,20:20,LA,DEN,-2.5,45.5,0.4545243123111509,0.448558885283451,0.4530329555542259,LA,0.75,0.25,Nested 75% PURE / 25% MARKET,fixed,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_PHI_CHI,2026,3,2026-09-28,20:15,PHI,CHI,-3.0,43.5,0.5120122789042063,0.3962430290578221,0.4830699664426102,PHI,0.75,0.25,Nested 75% PURE / 25% MARKET,fixed,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_ATL_GB,2026,3,2026-09-24,20:15,ATL,GB,6.0,43.5,0.6662360980475892,0.7135512302607419,0.7017224472074537,GB,0.25,0.75,Hybrid adaptive Brier,linear,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_LAC_BUF,2026,3,2026-09-27,13:00,LAC,BUF,7.0,50.5,0.7253278588010768,0.740871613663133,0.7369856749476189,BUF,0.25,0.75,Hybrid adaptive Brier,linear,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_CAR_CLE,2026,3,2026-09-27,13:00,CAR,CLE,-2.5,42.5,0.4288124667343988,0.4279403644395361,0.4281583900132518,CAR,0.25,0.75,Hybrid adaptive Brier,linear,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_NYJ_DET,2026,3,2026-09-27,13:00,NYJ,DET,6.5,48.5,0.7179499995664383,0.7220792588780237,0.7210469440501274,DET,0.25,0.75,Hybrid adaptive Brier,linear,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_HOU_IND,2026,3,2026-09-27,13:00,HOU,IND,-2.5,43.5,0.3968039987487859,0.4365079365079364,0.4265819520681488,HOU,0.25,0.75,Hybrid adaptive Brier,linear,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_NE_JAX,2026,3,2026-09-27,13:00,NE,JAX,3.0,45.5,0.5602974842194051,0.5996387718242023,0.5898034499230029,JAX,0.25,0.75,Hybrid adaptive Brier,linear,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_KC_MIA,2026,3,2026-09-27,13:00,KC,MIA,-11.5,46.5,0.3853117339754102,0.1420560747663551,0.2028699895686189,KC,0.25,0.75,Hybrid adaptive Brier,linear,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
2026_03_TEN_NYG,2026,3,2026-09-27,13:00,TEN,NYG,3.5,40.5,0.6755109928867288,0.6092362344582594,0.6258049240653767,NYG,0.25,0.75,Hybrid adaptive Brier,linear,production_compatible,0.8-qb-starter,False,,,,,,,,,,,2026-09-22T17:12:10.780347+00:00,8b8b5678fd4e5dce9b90acf88658f7da9556dd82
