season,pure_weight,market_weight,objective,calibrator,games,winner_pct,brier,log_loss
2022,0.8,0.19999999999999996,accuracy,none,271,0.6457564575645757,0.21849884306920372,0.6275324651517701
2023,0.3,0.7,accuracy,none,272,0.6691176470588235,0.22139119837594076,0.6331573304352114
2024,0.25,0.75,accuracy,none,272,0.7058823529411765,0.20168037161905847,0.5913262541724801
2025,0.3,0.7,accuracy,none,272,0.6507352941176471,0.21360652901713256,0.6142710543719804
