season,pure_weight,market_weight,objective,calibrator,games,winner_pct,brier,log_loss
2022,0.25,0.75,brier,none,271,0.6568265682656826,0.21161658107830325,0.6109624221146855
2023,0.25,0.75,brier,none,272,0.6801470588235294,0.22094897469606642,0.632133580676497
2024,0.25,0.75,brier,none,272,0.7242647058823529,0.2011463136148314,0.5900762760977363
2025,0.25,0.75,brier,none,272,0.6470588235294118,0.21269080550970365,0.6117024096926249
