season,games,baseline_pure_winner_pct,opponent_adjusted_pure_winner_pct,winner_gain_pp,baseline_pure_brier,opponent_adjusted_pure_brier,brier_delta,baseline_pure_log_loss,opponent_adjusted_pure_log_loss,log_loss_delta
2022,271,0.6420664206642066,0.6494464944649446,0.7380073800738018,0.22269875909933176,0.22358349710547185,0.0008847380061400845,0.6368144989163288,0.6382678485176957,0.0014533496013668934
2023,272,0.6323529411764706,0.625,-0.7352941176470562,0.23381992559063644,0.23395656552774116,0.0001366399371047211,0.6604791529415809,0.6611487405074156,0.0006695875658346839
2024,272,0.6727941176470589,0.6801470588235294,0.7352941176470562,0.2136265629393255,0.21250296895069318,-0.001123593988632321,0.6171876344974814,0.6146461016303674,-0.0025415328671140047
2025,272,0.6323529411764706,0.6176470588235294,-1.4705882352941124,0.22526078413275413,0.22739428245800725,0.0021334983252531137,0.6412940032940128,0.6458253675970073,0.0045313643029945005
