season,pure_weight,market_weight,objective,games,winner_pct,brier,log_loss
2022,0.25,0.75,brier,271,0.6642066420664207,0.2113976086408551,0.6107751343274922
2023,0.25,0.75,brier,272,0.6838235294117647,0.22083404634916315,0.631937558531015
2024,0.25,0.75,brier,272,0.7058823529411765,0.20168037161905847,0.5913262541724801
2025,0.25,0.75,brier,272,0.6470588235294118,0.21314758331111316,0.6130348832275035
