game_id,season,week,MARKET_ONLY_loss,STATIC_FOOTBALL_STATE_loss,DYNAMIC_NO_QB_loss,DYNAMIC_FULL_loss
2022_01_BAL_NYJ,2022,1,0.6931471805599453,0.6549099875494782,0.6715424366318661,0.6689225568729471
2022_01_BUF_LA,2022,1,0.723599542555945,0.7483226401100529,0.7013672320558515,0.693962233653092
2022_01_CLE_CAR,2022,1,0.6931471805599453,0.719866680888627,0.6775385946717423,0.6787220165033724
2022_01_DEN_SEA,2022,1,0.723599542555945,0.7168581551344378,0.7116884894326235,0.7124273011906875
2022_01_GB_MIN,2022,1,0.6931471805599453,0.709454375995073,0.7281216172164355,0.7318713900993233
2022_01_IND_HOU,2022,1,0.723599542555945,0.7281538967370882,0.7516669911643258,0.7619981020534177
2022_01_JAX_WAS,2022,1,0.723599542555945,0.71408079603356,0.6996593282062558,0.6886451203427978
2022_01_KC_ARI,2022,1,0.723599542555945,0.7048692499217802,0.7033944076939277,0.7062192978307951
2022_01_LV_LAC,2022,1,0.6931471805599453,0.685989890307361,0.6889263100981832,0.6945373338453555
2022_01_NE_MIA,2022,1,0.723599542555945,0.7744835875256355,0.7489238837307096,0.7493850350884937
2022_01_NO_ATL,2022,1,0.723599542555945,0.7527466944514689,0.7450447301093344,0.7417990310372603
2022_01_NYG_TEN,2022,1,0.6931471805599453,0.681521387918552,0.7387510263660144,0.7337313176511769
2022_01_PHI_DET,2022,1,0.723599542555945,0.7446513906111628,0.7424839185489345,0.7470029783117916
2022_01_PIT_CIN,2022,1,0.6931471805599453,0.689522428901023,0.6969033229697706,0.7011400193516626
2022_01_SF_CHI,2022,1,0.6931471805599453,0.6996611133076018,0.7111562650390444,0.706271510150099
2022_01_TB_DAL,2022,1,0.6931471805599453,0.7157575923799103,0.6994376207042048,0.696599343931201
2022_02_ARI_LV,2022,2,0.6931471805599453,0.6980150537251869,0.706707060354323,0.7112584266224776
2022_02_ATL_LA,2022,2,0.6931471805599453,0.7115014130466658,0.7034401214309929,0.7086084326039293
2022_02_CAR_NYG,2022,2,0.723599542555945,0.7314625161238643,0.7292136145186112,0.7280700173748453
2022_02_CHI_GB,2022,2,0.6931471805599453,0.6827659313832172,0.6774411035882708,0.6748481759361212
2022_02_CIN_DAL,2022,2,0.6931471805599453,0.683317768125249,0.6778297353924854,0.6747262736295675
2022_02_HOU_DEN,2022,2,0.6931471805599453,0.6968857041594685,0.7067883516982265,0.7010033292196446
2022_02_IND_JAX,2022,2,0.723599542555945,0.7461833851082063,0.7536050832045308,0.7597501187634997
2022_02_LAC_KC,2022,2,0.723599542555945,0.731399404021237,0.7487222521344868,0.7479210195138936
2022_02_MIA_BAL,2022,2,0.723599542555945,0.7548526833907396,0.7226771558121857,0.7227943952159241
2022_02_MIN_PHI,2022,2,0.6931471805599453,0.6772132914854976,0.6778182857885127,0.6731144334857999
2022_02_NE_PIT,2022,2,3.5067792600447376,3.507197301988226,3.507167641899464,3.507360947462526
2022_02_NYJ_CLE,2022,2,0.6931471805599453,0.6904557753576158,0.717858023172273,0.7230796302618163
2022_02_SEA_SF,2022,2,0.6931471805599453,0.7037417580026301,0.6822861243329245,0.6759814931607002
2022_02_TB_NO,2022,2,0.6931471805599453,0.7304903849316091,0.6673657659504042,0.6663914226635017
2022_02_TEN_BUF,2022,2,0.723599542555945,0.7192264377795473,0.7013365324692892,0.6978532247603257
2022_02_WAS_DET,2022,2,0.723599542555945,0.7180947923284242,0.7358797787320378,0.738059150957715
2022_03_ATL_SEA,2022,3,0.723599542555945,0.7412846267714176,0.7365799694954854,0.7405760758326521
2022_03_BAL_NE,2022,3,0.6931471805599453,0.7118615106565144,0.7079186789433005,0.718593187876464
2022_03_BUF_MIA,2022,3,0.723599542555945,0.732489520600957,0.7586020197209076,0.763443089594143
2022_03_CIN_NYJ,2022,3,0.6931471805599453,0.6780343332385664,0.674612506848859,0.669697319952585
2022_03_DAL_NYG,2022,3,0.723599542555945,0.7055560770390056,0.6846430817126955,0.6833189441767324
2022_03_DET_MIN,2022,3,0.6931471805599453,0.6978340019115602,0.6914118508281232,0.6935493116276575
2022_03_GB_TB,2022,3,0.723599542555945,0.6980519085272894,0.7267683229897922,0.7288334851933463
2022_03_HOU_CHI,2022,3,3.5067792600447376,3.506780402785907,3.50678577453385,3.506807802599001
2022_03_JAX_LAC,2022,3,0.6931471805599453,0.7175323170850172,0.7049037034979311,0.7104414071708282
2022_03_KC_IND,2022,3,0.6931471805599453,0.7032713727132106,0.7248008369302658,0.7130201454770383
