game_id,season,week,CONSTANT_SCALE_NO_KEY_integer_log_score,CONDITIONAL_SCALE_NO_KEY_integer_log_score,CONSTANT_SCALE_KEY_integer_log_score,FULL_CONDITIONAL_SCALE_KEY_integer_log_score
2022_01_BAL_NYJ,2022,1,3.7031912642465303,3.7015198040033317,3.8687728074413252,3.8657050058953177
2022_01_BUF_LA,2022,1,4.688661485922289,4.671305140105616,4.772137629656334,4.731972463013939
2022_01_CLE_CAR,2022,1,3.5409215267463576,3.541173789780265,3.7340089338606144,3.747164302707609
2022_01_DEN_SEA,2022,1,3.6308476340383122,3.6292014458239152,3.805532000700922,3.803395527073584
2022_01_GB_MIN,2022,1,4.040962391177573,4.040350762791681,4.184629659873047,4.1842629484029015
2022_01_IND_HOU,2022,1,3.6308476340383122,3.6300511527637656,5.473843013198426,5.462246250905388
2022_01_JAX_WAS,2022,1,3.505590698138951,3.5064974083238174,3.701329326095034,3.7138613334521096
2022_01_KC_ARI,2022,1,4.361870293155632,4.355245967665887,4.465160122216991,4.462645278329619
2022_01_LV_LAC,2022,1,3.4843535234944216,3.4953071739073764,3.6811762222352082,3.701062015598594
2022_01_NE_MIA,2022,1,3.7890976749545233,3.7911855132154133,3.95658296369895,3.9641689237586575
2022_01_NO_ATL,2022,1,3.5558148684713715,3.553260734908285,3.7380001194165877,3.7345747141698737
2022_01_NYG_TEN,2022,1,3.6097813145710713,3.6080417533124187,3.7883405234584533,3.787740543993883
2022_01_PHI_DET,2022,1,3.505590698138951,3.509191369963077,2.533953611299712,2.5286691862784423
2022_01_PIT_CIN,2022,1,3.820708973979078,3.8195254775745333,2.811627621836447,2.801340345720641
2022_01_SF_CHI,2022,1,4.216142762934538,4.221406443409752,4.331522252139099,4.340288520360553
2022_01_TB_DAL,2022,1,4.040962391177571,4.040079333512497,4.184629659873045,4.184047763329614
2022_02_ARI_LV,2022,2,3.8883409425876305,3.889768701140818,4.039303109910461,4.042001465598285
2022_02_ATL_LA,2022,2,3.6097813145710713,3.605973341513048,3.765558161383701,3.74429327107573
2022_02_CAR_NYG,2022,2,3.527583777689788,3.5314348974616934,2.564871166212582,2.5804507035399586
2022_02_CHI_GB,2022,2,3.6097813145710713,3.6016901360749847,3.765558161383703,3.7401010977436324
2022_02_CIN_DAL,2022,2,3.8207089739790754,3.8184831687669485,2.8116276218364455,2.8003589467211114
2022_02_HOU_DEN,2022,2,3.5158056474601596,3.5104507323502623,2.91261129834536,2.880677484549436
2022_02_IND_JAX,2022,2,5.618687963320852,5.6158075733034645,5.614639856880931,5.580700498370267
2022_02_LAC_KC,2022,2,3.4804175217657325,3.4907964798316673,2.5175710534196116,2.5275011592303214
2022_02_MIA_BAL,2022,2,3.63084763403831,3.6319720695688757,3.8140463140956853,3.824098981056161
2022_02_MIN_PHI,2022,2,4.125779192891764,4.123431038706114,4.26120524574183,4.257165128312474
2022_02_NE_PIT,2022,2,3.477268001397251,3.473405675200516,2.5169933549714543,2.518550509616519
2022_02_NYJ_CLE,2022,2,3.653442610515739,3.6465204218405796,3.8239729933100173,3.8154900555207183
2022_02_SEA_SF,2022,2,3.888340942587633,3.8863309874663012,4.02685038998666,4.023250417977681
2022_02_TB_NO,2022,2,3.653442610515739,3.6549278871020134,3.835283996697689,3.846654965043005
2022_02_TEN_BUF,2022,2,5.1931075993569715,5.200546429622854,5.200517196731852,5.25845909615392
2022_02_WAS_DET,2022,2,3.7890976749545233,3.7929357564497295,3.9592015272958574,3.9719406857323207
2022_03_ATL_SEA,2022,3,3.5558148684713715,3.5583101011567453,3.7491329964082603,3.7696444449759015
2022_03_BAL_NE,2022,3,3.7031912642465303,3.705521278164432,3.880083810828997,3.8909501745638075
2022_03_BUF_MIA,2022,3,3.5902499295093335,3.5996301690662684,3.775248160753451,3.7901829873657698
2022_03_CIN_NYJ,2022,3,3.7031912642465303,3.7029253549023915,3.8687728074413252,3.8670139474976404
2022_03_DAL_NYG,2022,3,3.6775595331652307,3.6755177526211615,3.090341116837178,3.097374236227465
2022_03_DET_MIN,2022,3,3.496942024158061,3.503253014436256,3.683133963926993,3.685310070190722
2022_03_GB_TB,2022,3,3.5055906981389526,3.506454454903407,3.7039478896919396,3.7249529289956436
2022_03_HOU_CHI,2022,3,3.477268001397251,3.473405675200516,2.5169933549714543,2.5185505096165186
2022_03_JAX_LAC,2022,3,6.83527126807864,6.83770326225981,6.7165159857870425,6.747754302592866
2022_03_KC_IND,2022,3,3.653442610515737,3.6587352775844835,2.6719199532251627,2.673605346749461
2022_03_LA_ARI,2022,3,3.5409215267463576,3.54716264289312,3.7320627341223327,3.746711822300739
2022_03_LV_TEN,2022,3,3.515805647460163,3.5209230198006494,3.7127246730536694,3.73508868471446
2022_03_NO_CAR,2022,3,3.7890976749545233,3.788672995447861,3.9582143324862464,3.965224800396904
2022_03_PHI_WAS,2022,3,3.7890976749545233,3.7896419827967596,3.948068650304189,3.948901473140414
2022_03_PIT_CLE,2022,3,3.653442610515737,3.64774776124838,3.8307813546257212,3.8296564580903323
2022_03_SF_DEN,2022,3,3.4898622491881337,3.494034166105051,3.689800514957621,3.714405295978159
2022_04_ARI_CAR,2022,4,3.853793243746746,3.854902151083081,4.017514593243748,4.025228740812408
2022_04_BUF_BAL,2022,4,3.477268001397251,3.486236976095662,2.5169933549714543,2.530181543413974
2022_04_CHI_NYG,2022,4,3.5558148684713715,3.551334438739384,3.746514432811351,3.753078961957781
2022_04_CLE_ATL,2022,4,3.527583777689788,3.5359423748320915,2.564871166212582,2.5845232093524184
2022_04_DEN_LV,2022,4,3.6097813145710713,3.612885792725584,3.7959777640026418,3.8099437865365404
2022_04_JAX_PHI,2022,4,3.4843535234944216,3.4813582367496263,3.6718114185858184,3.665190328941079
2022_04_KC_TB,2022,4,3.853793243746746,3.8557427088958134,4.017514593243748,4.026033351448887
2022_04_LAC_HOU,2022,4,3.5409215267463576,3.5405586196451453,3.726371693316428,3.7269487196905393
2022_04_LA_SF,2022,4,4.082671437642106,4.082373661863477,4.224004435653816,4.221626368084764
2022_04_MIA_CIN,2022,4,3.6775595331652307,3.6811171173703516,3.8538500845240753,3.8623957860675393
2022_04_MIN_NO,2022,4,3.4804175217657325,3.478045325787093,2.51757105341961,2.5158756899621038
2022_04_NE_GB,2022,4,3.63084763403831,3.622242254170758,2.628362893200298,2.598095278765338
2022_04_NYJ_PIT,2022,4,3.63084763403831,3.629153479585258,3.8140463140956853,3.8215331757761777
2022_04_SEA_DET,2022,4,3.5902499295093375,3.5958541099090113,2.618641635005266,2.6263727149466054
2022_04_TEN_IND,2022,4,3.8883409425876305,3.888022577208466,3.2740553014465,3.2714449903791767
2022_04_WAS_DAL,2022,4,3.9243421574652277,3.9239771775091987,4.0785122477144435,4.0809757720327555
2022_05_ATL_TB,2022,5,3.5409215267463576,3.5358588816220435,3.703589331241676,3.6777560856632623
2022_05_CHI_MIN,2022,5,3.5055906981389526,3.498334407541513,2.9061248996640234,2.8743669328125883
2022_05_CIN_BAL,2022,5,3.4804175217657325,3.4863993072816486,3.6786873304725463,3.6963604819834406
2022_05_DAL_LA,2022,5,4.413109317092978,4.416720183075662,4.51328002176285,4.518703286690505
2022_05_DET_NE,2022,5,5.472582607795071,5.459494532833127,5.4815687317546375,5.441165730161662
2022_05_HOU_JAX,2022,5,4.082671437642106,4.083381416998831,3.440562393202369,3.4394813514850267
2022_05_IND_DEN,2022,5,3.6097813145710713,3.608514482877059,2.635170162863799,2.6345617078243295
2022_05_LAC_CLE,2022,5,3.4804175217657325,3.4884390460156975,3.6813058940694536,3.7097493883514088
2022_05_LV_KC,2022,5,3.6097813145710713,3.6132331275074763,3.780499011388869,3.7776527474868216
2022_05_MIA_NYJ,2022,5,5.472582607795071,5.46118250899251,5.4815687317546375,5.442702425526869
2022_05_NYG_GB,2022,5,4.040962391177571,4.041934735469864,4.16453969940506,4.168183164494771
2022_05_PHI_ARI,2022,5,3.496942024158057,3.5006808682607615,2.5279463253699213,2.5249857573070766
2022_05_PIT_BUF,2022,5,4.807648370083008,4.828222449897265,4.8274876480833715,4.911925412964813
2022_05_SEA_NO,2022,5,3.4843535234944216,3.4845700580329577,2.9071027744931235,2.90354420403588
2022_05_SF_CAR,2022,5,4.263373798156905,4.267650264208221,4.376107235353461,4.383195555048401
2022_05_TEN_WAS,2022,5,3.5055906981389526,3.5083810780696822,3.70394788969194,3.7266908831353973
2022_06_ARI_SEA,2022,6,3.9617866131179733,3.962314791236448,4.113183736490811,4.115881552125053
2022_06_BAL_NYG,2022,6,3.7589685081043087,3.759343509029457,3.9226922195682525,3.92424483076185
2022_06_BUF_KC,2022,6,3.48435352349442,3.4982168246799485,3.683122421973492,3.7100614446736078
2022_06_CAR_LA,2022,6,3.527583777689788,3.5176483571376918,3.6942919845214046,3.6654902758575583
2022_06_CIN_NO,2022,6,3.4804175217657325,3.48004361351053,3.6786873304725463,3.690598834190372
2022_06_DAL_PHI,2022,6,3.496942024158057,3.4921079689693517,3.683133963926995,3.6749352552879078
2022_06_DEN_LAC,2022,6,3.478055441421026,3.480931533238494,2.5166504481636522,2.522038611338439
2022_06_JAX_IND,2022,6,3.5902499295093335,3.5904192587971866,3.0117391930665542,3.024204080609321
2022_06_MIN_MIA,2022,6,3.5558148684713715,3.558270613188844,3.746514432811353,3.759377525789354
