season,n,candidate_log_loss,null_log_loss,paired_delta,static_log_loss,no_qb_log_loss,candidate,candidate_integer_log_score,null_integer_log_score,conditional_no_key,constant_key
2022,271,0.8135550933418553,0.8112422756460704,0.002312817695784923,0.8147399013089938,0.8135103381640262,M3,,,,
2022,271,,,-0.08138788068651366,,,M4,3.7892385408157145,3.870626421502228,3.8704998456653508,3.789094986036107
2023,272,,,-0.08115489586648772,,,M4,3.9036734799385755,3.984828375805063,3.9850281197795683,3.9044498340788856
2023,272,0.8510911479298149,0.8510006004931768,9.054743663811909e-05,0.8497287174937241,0.8514241579929352,M3,,,,
2024,272,,,-0.06778565434304575,,,M4,3.8854178867195373,3.953203541062582,3.9535986486716617,3.8840349635446634
2024,272,0.7490230796896379,0.7488538541154832,0.00016922557415470374,0.7494583179780272,0.7480759889035147,M3,,,,
2025,272,0.7110506261842056,0.7109346499436974,0.00011597624050819472,0.7118068938018424,0.710647600366353,M3,,,,
2025,272,,,-0.10035364575496866,,,M4,3.8333364166586374,3.933690062413607,3.9337211058500023,3.8338994135604083
