season,n,candidate_log_loss,null_log_loss,paired_delta,static_log_loss,no_qb_log_loss
2022,271,0.8135550933418553,0.8112422756460704,0.002312817695784923,0.8147399013089938,0.8135103381640262
2023,272,0.8510911479298149,0.8510006004931768,9.054743663811909e-05,0.8497287174937241,0.8514241579929352
2024,272,0.7490230796896379,0.7488538541154832,0.00016922557415470374,0.7494583179780272,0.7480759889035147
2025,272,0.7110506261842056,0.7109346499436974,0.00011597624050819472,0.7118068938018424,0.710647600366353
