game_id,season,week,gameday,home_team,away_team,home_score,away_score,expected_home_points,expected_away_points,rest_diff,actual_margin,actual_total,expected_margin,expected_total,home_win_probability,home_score_sd,away_score_sd,margin_sd,total_sd,score_uncertainty,margin_p25,margin_p75,margin_p10,margin_p90,total_p25,total_p75,total_p10,total_p90,home_offense_strength,away_offense_strength,home_defense_strength,away_defense_strength,offense_strength_diff,defense_strength_diff,summed_offense_strength,summed_defense_strength,candidate_id,outer_target_season,train_through_season,training_through_boundary,selected_alpha,selected_half_life,source_contract_version,code_sha,config_sha,fallback_state,residual_covariance_version,cov_home_var,cov_away_var,cov_home_away
2022_01_BAL_NYJ,2022,1,2022-09-11,NYJ,BAL,9.0,24.0,20.0268519423537,23.466014336015498,0.0,-15.0,33.0,-3.439162393661796,43.4928662783692,0.39979822516889774,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-12.576457869235456,5.698133081911864,-20.800308827926838,13.921984040603245,34.06980019778271,52.915932358955686,25.58874678019273,61.39698577654567,-0.010455499555814913,-0.2140417293747926,-0.19961669980305208,-0.05295866194760351,0.2035862298189777,-0.14665803785544856,-0.2244972289306075,-0.2525753617506556,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_BUF_LA,2022,1,2022-09-08,LA,BUF,10.0,31.0,23.189654688589727,23.971092724742142,0.0,-21.0,41.0,-0.7814380361524158,47.16074741333187,0.47700033522674773,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-9.918733511726076,8.355857439421245,-18.142584470417457,16.579708398112626,37.73768133274538,56.583813493918356,29.2566279151554,65.06486691150835,0.05621747395265683,0.08225346674958009,0.08253787170302739,0.2209298058897161,-0.026035992796923257,-0.13839193418668871,0.13847094070223692,0.3034676775927435,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_CLE_CAR,2022,1,2022-09-11,CAR,CLE,24.0,26.0,18.321722449876248,20.203058704338673,0.0,-2.0,50.0,-1.8813362544624255,38.52478115421492,0.4447744585039594,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-11.018631730036086,7.255959221111235,-19.242482688727467,15.479810179802616,29.10171507362843,47.947847234801415,20.62066165603845,56.42890065239139,-0.2143661302664187,-0.25816945214175446,-0.2377145663390232,0.16449540546957736,0.043803321875335754,-0.4022099718086005,-0.47253558240817317,-0.07321916086944583,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_DEN_SEA,2022,1,2022-09-12,SEA,DEN,17.0,16.0,25.12063811825089,21.10264660820789,0.0,1.0,33.0,4.017991510043,46.223284726458786,0.6166128851902288,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-5.11930396553066,13.15528698561666,-13.343154924222041,21.37913794430804,36.80021864587229,55.64635080704528,28.319165228282316,64.12740422463526,0.2248014785283947,-0.1921088344744899,0.015463454268807372,0.1941139863555186,0.4169103130028846,-0.17865053208671122,0.03269264405390479,0.20957744062432598,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_GB_MIN,2022,1,2022-09-11,MIN,GB,23.0,7.0,23.472285445405817,27.38163470612906,0.0,16.0,30.0,-3.9093492607232427,50.85392015153488,0.38645243652765626,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-13.046644736296903,5.227946214850418,-21.270495694988284,13.451797173541799,41.430854070948385,60.276986232121374,32.94980065335841,68.75803964971135,0.0656399857865026,0.11736151334821991,-0.11143618830138141,-0.025880707270160803,-0.051721527561717315,-0.08555548103122061,0.18300149913472252,-0.13731689557154222,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_IND_HOU,2022,1,2022-09-11,HOU,IND,20.0,20.0,20.29067338584237,23.865390729203284,0.0,0.0,40.0,-3.5747173433609127,44.15606411504565,0.395937851728773,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-12.712012818934573,5.562578132212748,-20.935863777625954,13.786429090904129,34.73299803445916,53.579130195632146,26.25194461686918,62.06018361322212,-0.07213350945480035,-0.015951618418332723,-0.07841476660637225,0.07789186622630548,-0.056181891036467625,-0.15630663283267773,-0.08808512787313308,-0.0005229003800667764,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_JAX_WAS,2022,1,2022-09-11,WAS,JAX,28.0,22.0,23.13431410900629,17.870479617938425,0.0,6.0,50.0,5.263834491067865,41.00479372694471,0.6511997718013738,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-3.8734609845057957,14.401129966641525,-12.097311943197177,22.624980925332906,31.58172764635822,50.427859807531206,23.10067422876824,58.90891322512118,-0.09684973449435927,-0.24697244498160595,-0.04072357670931882,-0.11796565938630967,0.15012271048724668,0.07724208267699084,-0.3438221794759652,-0.1586892360956285,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_KC_ARI,2022,1,2022-09-11,ARI,KC,21.0,44.0,24.61413667729993,27.365558542209456,0.0,-23.0,65.0,-2.7514218649095277,51.97969521950938,0.4195275319183892,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-11.888717340483188,6.385873610664133,-20.11256829917457,14.609724569355514,42.55662913892289,61.402761300095875,34.07557572133291,69.88381471768585,0.008870822096719182,0.10584012327700514,-0.14706064958902637,0.22358546046889155,-0.09696930118028596,-0.3706461100579179,0.11471094537372431,0.07652481087986518,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_LV_LAC,2022,1,2022-09-11,LAC,LV,24.0,19.0,27.501457450464624,23.148695021963643,0.0,5.0,43.0,4.352762428500981,50.65015247242827,0.6260118140999338,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-4.78453304707268,13.490057904074641,-13.00838400576406,21.713908862766022,41.22708639184178,60.073218553014755,32.7460329742518,68.55427197060473,0.32148856794341374,-0.12652109659752947,-0.3157263800910933,-0.08040987529644641,0.4480096645409432,-0.23531650479464686,0.19496747134588427,-0.3961362553875397,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
2022_01_NE_MIA,2022,1,2022-09-11,MIA,NE,20.0,7.0,20.819633110054284,23.142444146702953,0.0,13.0,27.0,-2.3228110366486696,43.96207725675724,0.43192968245173397,9.779612208571955,9.680345893140471,13.546974543226709,13.970658676202419,13.760447360492725,-11.46010651222233,6.814484438924991,-19.68395747091371,15.038335397616372,34.539011176170746,53.385143337343735,26.05795775858077,61.86619675493371,-0.0026372115794037125,0.2700711473094847,0.09177635984461763,0.12607198904780134,-0.27270835888888845,-0.034295629203183714,0.267433935730081,0.21784834889241897,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,2022,2021,2021-REG-END,100.0,4,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,A0_training_only_home_away_cov_v1,95.64081495004962,93.70909661084158,2.9146961430293654
