game_id,season,week,gameday,home_team,away_team,home_score,away_score,actual_margin,actual_total,expected_home_points,expected_away_points,expected_margin,expected_total,home_win_probability,home_score_variance,away_score_variance,margin_variance,total_variance,expected_home_drives,expected_away_drives,home_p_td,home_p_fg,away_p_td,away_p_fg,home_p10,home_p25,home_p50,home_p75,home_p90,away_p10,away_p25,away_p50,away_p75,away_p90,margin_p10,margin_p25,margin_p50,margin_p75,margin_p90,total_p10,total_p25,total_p50,total_p75,total_p90,home_crps,away_crps,margin_crps,total_crps,joint_energy_score,simulation_seed,candidate_id,outer_target_season,train_through_season,training_through_boundary,selected_drive_alpha,selected_outcome_c,source_contract_version,code_sha,config_sha,fallback_state,simulation_version,simulation_draws
2022_01_NO_ATL,2022,1,2022-09-11,ATL,NO,26.0,27.0,-1.0,53.0,23.3007,26.19,-2.8893,49.4907,0.43105,149.78085759575956,171.65586558655866,298.17306281628163,344.70038354835486,11.220009242332106,11.06436052922793,0.21081734543172106,0.17691135160187815,0.25913568984648655,0.16238018134824025,9.0,14.0,22.0,31.0,40.0,10.0,17.0,24.5,34.0,44.0,-25.0,-14.0,-3.0,9.0,19.0,26.0,37.0,48.0,61.0,74.0,3.3693266500000005,3.154967300000001,4.014524949999998,4.835779110000001,5.0929971799277975,2589210436,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_NYG_TEN,2022,1,2022-09-11,TEN,NYG,20.0,21.0,-1.0,41.0,25.8604,17.3826,8.4778,43.243,0.69775,174.82599443944395,108.95451269126913,267.65387254725476,299.9071417141714,11.114317777451951,11.138767735606507,0.2584050682815333,0.1430143639913364,0.1494845825413354,0.14296814113157552,10.0,17.0,24.0,34.0,44.0,6.0,10.0,16.0,24.0,31.0,-12.0,-3.0,8.0,19.25,30.0,23.0,31.0,42.0,54.0,66.0,3.6845848400000003,3.263263340000001,5.80922546,4.007161459999999,5.473892257160079,204281819,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_PHI_DET,2022,1,2022-09-11,DET,PHI,35.0,38.0,-3.0,73.0,22.5229,27.8453,-5.3224,50.3682,0.38470000000000004,147.06898248824882,193.20608851885186,318.69452769276927,361.8556143214322,10.930964135914103,10.915637994551457,0.21878037843229223,0.14773595272332785,0.2927675730774432,0.13656973385958385,7.0,14.0,21.0,30.0,38.100000000000364,10.0,17.0,27.0,37.0,46.0,-28.0,-17.0,-5.0,6.0,17.0,27.0,37.0,49.0,62.0,75.0,8.15435635,6.604672589999999,4.15649374,14.74455708,11.030090500567713,2374167967,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_PIT_CIN,2022,1,2022-09-11,CIN,PIT,20.0,23.0,-3.0,43.0,21.953,22.7343,-0.7813,44.6873,0.47785,145.6991609160916,147.21222473247323,278.17508781878183,307.6476834783478,11.448837231819487,11.625534387339771,0.20827911750861366,0.12889048415433974,0.19310612765324026,0.17213133954818982,7.0,13.0,20.0,30.0,38.0,7.0,13.75,21.0,30.0,39.0,-22.0,-12.0,-1.0,10.0,20.0,23.0,32.0,43.0,56.0,68.0,2.8457117200000006,2.9013113299999995,3.89127431,4.120579169999999,4.514917387527419,472995095,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_SF_CHI,2022,1,2022-09-11,CHI,SF,19.0,10.0,9.0,29.0,22.1866,25.0517,-2.8651,47.2383,0.4301,147.07228766876685,164.26325343534353,284.55515750575057,338.11592470247024,11.097718504144963,11.17070095363018,0.22050202617782502,0.12271906818960857,0.23772489195229815,0.1666609023961694,7.0,13.0,21.0,30.0,38.0,10.0,16.0,24.0,33.0,42.0,-24.0,-14.0,-3.0,8.0,18.0,24.0,34.0,46.0,59.0,71.0,3.0049037599999995,8.77850275,7.122012230000001,10.36462931,9.499988588461012,3559706039,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_01_TB_DAL,2022,1,2022-09-11,DAL,TB,3.0,19.0,-16.0,22.0,29.6659,29.0286,0.6373,58.6945,0.51265,200.64094128412842,200.4798300230023,365.25147385738575,436.99006875687564,11.480331087935786,11.62729720677371,0.29558413488490765,0.1464049844838164,0.2885573756279105,0.13332352915399354,13.0,20.0,29.0,38.0,49.0,13.0,20.0,28.0,38.0,48.0,-23.0,-12.0,0.0,13.0,25.0,33.0,44.0,57.0,72.0,86.0,18.76285589,5.471006839999999,9.95005493,25.181960509999996,19.240355616010675,289416700,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_02_ARI_LV,2022,2,2022-09-18,LV,ARI,23.0,29.0,-6.0,52.0,26.1665,26.2192,-0.0527,52.3857,0.5033,172.4222199719972,179.32188354835483,319.53247595759575,383.95573108310833,10.901791758483839,10.796445736327005,0.2555459801839996,0.181247753842187,0.2732247516758169,0.14807827934975626,10.0,17.0,25.0,34.0,44.0,10.0,17.0,24.0,34.0,44.0,-23.0,-12.0,0.0,12.0,23.0,29.0,38.0,51.0,64.0,79.0,3.137716150000001,3.61319136,4.964755049999999,4.612296730000001,5.269808123545003,4050574545,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_02_ATL_LA,2022,2,2022-09-18,LA,ATL,31.0,27.0,4.0,58.0,29.4703,23.36,6.1103,52.8303,0.6285,201.50926883688368,151.56015601560156,318.9002239323932,387.2386257725773,10.92935402396978,11.007752610388838,0.3077859435148167,0.15453045453401293,0.22122745330235372,0.16367282779040737,13.0,20.0,28.0,38.0,48.0,9.0,14.0,22.0,31.0,40.0,-16.0,-6.0,6.0,18.0,29.0,29.0,39.0,51.0,65.0,79.0,3.5183142699999994,3.631047999999999,4.17935649,5.460308030000002,5.552915986237666,1627569418,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_02_CAR_NYG,2022,2,2022-09-18,NYG,CAR,19.0,16.0,3.0,35.0,18.0486,21.2678,-3.2192,39.3164,0.41835,114.2124592859286,136.82716587658769,235.50130149014905,266.5779488348835,11.42098363406145,11.230086868785214,0.15413532068031174,0.1465831184177189,0.1822383882779818,0.17714305257194457,6.0,10.0,17.0,24.0,32.0,7.0,13.0,20.0,29.0,37.0,-22.0,-13.0,-3.0,7.0,16.0,19.0,28.0,38.0,50.0,61.0,2.6674998799999994,3.2904285999999994,4.507401939999999,4.02615364,4.691584576960617,3395070655,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
2022_02_CHI_GB,2022,2,2022-09-18,GB,CHI,27.0,10.0,17.0,37.0,27.7572,19.8498,7.9074,47.607,0.6738,186.4254907090709,128.07884784478446,290.70649588958895,338.30218121812186,10.949955653640961,10.793629570123404,0.283586438449806,0.15275182724344033,0.19904411900201138,0.12312349947873265,10.0,17.0,27.0,36.0,46.0,7.0,12.0,19.0,27.0,35.0,-14.0,-4.0,7.0,19.0,30.0,25.0,34.0,47.0,59.0,72.0,3.1549403000000007,5.25407406,5.934658600000001,6.158249600000001,6.5958159236284235,48669820,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,2022,2021,2021-REG-END,0.0,0.05,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE,B0-poisson-multinomial-rare-tail-v1,10000
