game_id,season,week,gameday,home_team,away_team,home_score,away_score,actual_margin,actual_total,rest_diff,market_margin,market_total,market_horizon_label,a0_expected_margin,a0_expected_total,offense_strength_diff,defense_strength_diff,summed_offense_strength,summed_defense_strength,m0_margin,m1_margin_residual,m1_margin,m2_margin_residual,m2_margin,predicted_margin_residual,hybrid_margin,m3_margin,m0_total,m1_total_residual,m1_total,m2_total_residual,m2_total,predicted_total_residual,hybrid_total,m3_total,expected_margin,expected_total,expected_home_points,expected_away_points,candidate_id,outer_target_season,train_through_season,training_through_boundary,selected_margin_alpha_m1,selected_margin_alpha_m2,selected_margin_alpha_m3,selected_total_alpha_m1,selected_total_alpha_m2,selected_total_alpha_m3,source_contract_version,code_sha,config_sha,fallback_state
2022_01_BAL_NYJ,2022,1,2022-09-11,NYJ,BAL,9.0,24.0,-15.0,33.0,0.0,-6.5,44.0,historical_closing_late_benchmark_exact_horizon_opaque,-3.439162393661796,43.4928662783692,0.2035862298189777,-0.14665803785544856,-0.2244972289306075,-0.2525753617506556,-6.5,-0.6156782121096892,-7.115678212109689,-0.6672897272275538,-7.167289727227554,-0.6790609677341366,-7.179060967734136,-7.179060967734136,44.0,0.2152395247567616,44.21523952475676,0.318206029061485,44.318206029061486,0.3106390715261095,44.31063907152611,44.31063907152611,-7.179060967734136,44.31063907152611,18.565789051895987,25.744850019630125,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_BUF_LA,2022,1,2022-09-08,LA,BUF,10.0,31.0,-21.0,41.0,0.0,-1.0,51.5,historical_closing_late_benchmark_exact_horizon_opaque,-0.7814380361524158,47.16074741333187,-0.026035992796923257,-0.13839193418668871,0.13847094070223692,0.3034676775927435,-1.0,-0.5306537463447376,-1.5306537463447376,-0.6057000969728723,-1.6057000969728723,-0.610076142883449,-1.610076142883449,-1.610076142883449,51.5,0.12981660325471445,51.62981660325472,0.4712815383318353,51.97128153833184,0.4864079115270043,51.986407911527,51.986407911527,-1.610076142883449,51.986407911527,25.188165884321776,26.798242027205227,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_CLE_CAR,2022,1,2022-09-11,CAR,CLE,24.0,26.0,-2.0,50.0,0.0,2.5,42.5,historical_closing_late_benchmark_exact_horizon_opaque,-1.8813362544624255,38.52478115421492,0.043803321875335754,-0.4022099718086005,-0.47253558240817317,-0.07321916086944583,2.5,-0.47654726813067744,2.0234527318693227,-0.7093288124341893,1.7906711875658106,-0.7122514206669096,1.7877485793330905,1.7877485793330905,42.5,0.23232410905717105,42.732324109057174,0.7030306511375927,43.203030651137595,0.6875993258933586,43.18759932589336,43.18759932589336,1.7877485793330905,43.18759932589336,22.487673952613225,20.699925373280134,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_DEN_SEA,2022,1,2022-09-12,SEA,DEN,17.0,16.0,1.0,33.0,0.0,-6.0,44.0,historical_closing_late_benchmark_exact_horizon_opaque,4.017991510043,46.223284726458786,0.4169103130028846,-0.17865053208671122,0.03269264405390479,0.20957744062432598,-6.0,-0.6079487152219664,-6.6079487152219665,-0.21499882477430854,-6.214998824774309,-0.21824229375858245,-6.218242293758583,-6.218242293758583,44.0,0.2152395247567616,44.21523952475676,0.02838118381961932,44.02838118381962,0.023320237387348286,44.023320237387345,44.023320237387345,-6.218242293758583,44.023320237387345,18.90253897181438,25.120781265572965,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_GB_MIN,2022,1,2022-09-11,MIN,GB,23.0,7.0,16.0,30.0,0.0,2.5,47.0,historical_closing_late_benchmark_exact_horizon_opaque,-3.9093492607232427,50.85392015153488,-0.051721527561717315,-0.08555548103122061,0.18300149913472252,-0.13731689557154222,2.5,-0.47654726813067744,2.0234527318693227,-0.8536384346753748,1.646361565324625,-0.8593038163033182,1.6406961836966818,1.6406961836966818,47.0,0.18107035615594275,47.18107035615594,-0.1962966637570051,46.803703336243,-0.18983132888375237,46.810168671116244,46.810168671116244,1.6406961836966818,46.810168671116244,24.225432427406464,22.58473624370978,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_IND_HOU,2022,1,2022-09-11,HOU,IND,20.0,20.0,0.0,40.0,0.0,-7.0,46.0,historical_closing_late_benchmark_exact_horizon_opaque,-3.5747173433609127,44.15606411504565,-0.056181891036467625,-0.15630663283267773,-0.08808512787313308,-0.0005229003800667764,-7.0,-0.6234077089974122,-7.623407708997412,-0.6788419377149241,-7.678841937714924,-0.690437310767442,-7.690437310767442,-7.690437310767442,46.0,0.19246007902288237,46.19246007902288,0.37810337655645854,46.37810337655646,0.3762707915954815,46.37627079159548,46.37627079159548,-7.690437310767442,46.37627079159548,19.34291674041402,27.033354051181462,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_JAX_WAS,2022,1,2022-09-11,WAS,JAX,28.0,22.0,6.0,50.0,0.0,3.0,43.5,historical_closing_late_benchmark_exact_horizon_opaque,5.263834491067865,41.00479372694471,0.15012271048724668,0.07724208267699084,-0.3438221794759652,-0.1586892360956285,3.0,-0.4688177712429546,2.5311822287570456,-0.30965314144305556,2.6903468585569446,-0.3051549772378884,2.6948450227621117,2.6948450227621117,43.5,0.22093438619023142,43.72093438619023,0.5281197000133383,44.02811970001334,0.5172551879960675,44.01725518799607,44.01725518799607,2.6948450227621117,44.01725518799607,23.35605010537909,20.66120508261698,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_KC_ARI,2022,1,2022-09-11,ARI,KC,21.0,44.0,-23.0,65.0,0.0,-6.0,54.0,historical_closing_late_benchmark_exact_horizon_opaque,-2.7514218649095277,51.97969521950938,-0.09696930118028596,-0.3706461100579179,0.11471094537372431,0.07652481087986518,-6.0,-0.6079487152219664,-6.6079487152219665,-0.6349216599418328,-6.634921659941833,-0.6443518134028874,-6.644351813402888,-6.644351813402888,54.0,0.10134229608736538,54.10134229608737,0.24254105287017397,54.24254105287017,0.2688269464786684,54.26882694647867,54.26882694647867,-6.644351813402888,54.26882694647867,23.812237566537892,30.456589379940777,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_LV_LAC,2022,1,2022-09-11,LAC,LV,24.0,19.0,5.0,43.0,0.0,3.5,52.5,historical_closing_late_benchmark_exact_horizon_opaque,4.352762428500981,50.65015247242827,0.4480096645409432,-0.23531650479464686,0.19496747134588427,-0.3961362553875397,3.5,-0.4610882743552317,3.0389117256447684,-0.3410895990496683,3.1589104009503317,-0.33744000863464846,3.1625599913653515,3.1625599913653515,52.5,0.11842688038777481,52.61842688038777,0.21396459579603216,52.713964595796035,0.23412432425027985,52.73412432425028,52.73412432425028,3.1625599913653515,52.73412432425028,27.948342157807815,24.785782166442466,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_01_NE_MIA,2022,1,2022-09-11,MIA,NE,20.0,7.0,13.0,27.0,0.0,3.0,47.0,historical_closing_late_benchmark_exact_horizon_opaque,-2.3228110366486696,43.96207725675724,-0.27270835888888845,-0.034295629203183714,0.267433935730081,0.21784834889241897,3.0,-0.4688177712429546,2.5311822287570456,-0.7791343279529643,2.2208656720470357,-0.7821611050521812,2.217838894947819,2.217838894947819,47.0,0.18107035615594275,47.18107035615594,0.379859675291072,47.37985967529107,0.3795172821000453,47.379517282100046,47.379517282100046,2.217838894947819,47.379517282100046,24.798678088523932,22.580839193576114,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
