game_id,season,week,home_team,away_team,a0_home_win_probability,a0_expected_margin,a0_expected_total,a0_score_uncertainty,a0_offense_strength_diff,a0_defense_strength_diff,a0_train_through_season,a0_candidate_id,a0_code_sha,a0_config_sha,b0_home_win_probability,b0_expected_margin,b0_expected_total,b0_margin_variance,b0_total_variance,b0_margin_p10,b0_margin_p90,b0_total_p10,b0_total_p90,b0_train_through_season,b0_candidate_id,b0_code_sha,b0_config_sha,c0_market_margin,c0_market_total,c0_predicted_margin_residual,c0_predicted_total_residual,c0_hybrid_margin,c0_hybrid_total,c0_market_horizon_label,c0_train_through_season,c0_candidate_id,c0_code_sha,c0_config_sha,oof_provenance_assertion
2022_01_NO_ATL,2022,1,ATL,NO,0.4642927843167334,-1.214141602998577,39.34659875304432,13.760447360492725,-0.01581395495775703,-0.3256279193631918,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.43105,-2.8893,49.4907,298.17306281628163,344.70038354835486,-25.0,19.0,26.0,74.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,-6.0,43.5,-0.5492050341866784,0.6415087115029596,-6.549205034186678,44.14150871150296,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_01_NYG_TEN,2022,1,TEN,NYG,0.8253395614959336,12.678713454369039,38.60609490699003,13.760447360492725,0.4117289561932335,0.2341434967917833,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.69775,8.4778,43.243,267.65387254725476,299.9071417141714,-12.0,30.0,23.0,66.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,5.5,43.5,0.11369286016412344,0.7659962360299273,5.613692860164123,44.26599623602993,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_01_PHI_DET,2022,1,DET,PHI,0.45977300216385697,-1.3683204698993094,47.54944931890723,13.760447360492725,-0.08065092884180942,-0.1189954887896704,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.38470000000000004,-5.3224,50.3682,318.69452769276927,361.8556143214322,-28.0,17.0,27.0,75.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,-6.0,49.0,-0.5735688581056957,0.20384260645408317,-6.573568858105696,49.20384260645408,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_01_PIT_CIN,2022,1,CIN,PIT,0.6426797719172463,4.953193552685164,42.5724425123159,13.760447360492725,0.2589835948266103,-0.011637810488225528,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.47785,-0.7813,44.6873,278.17508781878183,307.6476834783478,-22.0,20.0,23.0,68.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,7.5,44.5,-0.38268934648073594,0.33195120388732086,7.117310653519264,44.83195120388732,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_01_SF_CHI,2022,1,CHI,SF,0.4001220578699091,-3.427807008707255,43.919923314701855,13.760447360492725,-0.033561806963443415,-0.16444321155570327,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.4301,-2.8651,47.2383,284.55515750575057,338.11592470247024,-24.0,18.0,24.0,71.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,-6.5,38.0,-0.6875729461519484,-0.22742700538950245,-7.187572946151948,37.7725729946105,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_01_TB_DAL,2022,1,DAL,TB,0.5619086225593142,2.110754673419745,50.097221316172806,13.760447360492725,0.33156739104791066,-0.037926719418337446,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.51265,0.6373,58.6945,365.25147385738575,436.99006875687564,-23.0,25.0,33.0,86.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,-2.5,49.5,-0.40033761292109665,-0.08368268145360908,-2.9003376129210965,49.41631731854639,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_02_ARI_LV,2022,2,LV,ARI,0.5533897588255905,1.8184141903268412,47.40640887494313,13.760447360492725,-0.13539191869424866,0.06665077429257996,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.5033,-0.0527,52.3857,319.53247595759575,383.95573108310833,-23.0,23.0,29.0,79.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,5.5,51.5,-0.5661699181447087,0.5200664670585051,4.933830081855291,52.020066467058506,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_02_ATL_LA,2022,2,LA,ATL,0.7174290547266884,7.792503271190423,44.71880118592841,13.760447360492725,0.19884772874052487,0.25012823918681776,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.6285,6.1103,52.8303,318.9002239323932,387.2386257725773,-16.0,29.0,29.0,79.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,10.5,46.5,-0.7304220673947153,0.7205003438187679,9.769577932605285,47.22050034381877,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_02_CAR_NYG,2022,2,NYG,CAR,0.47228231838791246,-0.9419741922443663,33.83259244196909,13.760447360492725,-0.23600643857725845,0.18412511178391755,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.41835,-3.2192,39.3164,235.50130149014905,266.5779488348835,-22.0,16.0,19.0,61.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,-1.0,44.0,-0.6478923825911562,1.2433848464854422,-1.6478923825911562,45.24338484648544,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
2022_02_CHI_GB,2022,2,GB,CHI,0.7368074287222496,8.582465704487504,46.328686098862576,13.760447360492725,0.13822975435368837,-0.011410240166130996,2021,A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,0.6738,7.9074,47.607,290.70649588958895,338.30218121812186,-14.0,30.0,25.0,72.0,2021,B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,10.5,42.0,-0.210948025143482,-0.16046136660605603,10.289051974856518,41.83953863339394,historical_closing_late_benchmark_exact_horizon_opaque,2021,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,True
