game_id,row_position,logistic,extra_trees,xgboost,catboost,home_win,season
2018_01_ATL_PHI,0,0.55405196508324295,0.5245517283482799,0.42618519067764282,0.53606176891038015,1,2018
2018_01_BUF_BAL,1,0.76839891580408781,0.6765363962857065,0.71164381504058827,0.78473359790621555,1,2018
2018_01_PIT_CLE,2,0.17160429384999551,0.15414735264735269,0.13716170191764829,0.25636881316058341,0,2018
2018_01_CIN_IND,3,0.4460634350307387,0.50022683133859591,0.60561376810073853,0.56935487689157527,0,2018
2018_01_TEN_MIA,4,0.42844586250350941,0.5548135810549597,0.59530836343765248,0.60295178307598396,1,2018
2018_01_SF_MIN,5,0.71958737364768066,0.62139646464646492,0.8062204122543335,0.81124816797846211,1,2018
2018_01_HOU_NE,6,0.91380750723128057,0.85537975357975338,0.91818058490753163,0.92027807521555183,1,2018
2018_01_TB_NO,7,0.73931398782104796,0.65808251748251712,0.47365263104438782,0.64185384638983622,0,2018
2018_01_JAX_NYG,8,0.3731683996997906,0.44646237096237062,0.49735119938850397,0.4125739157729934,0,2018
2018_01_KC_LAC,9,0.61623289329572184,0.58454342046842045,0.72705090045928955,0.64777681558125677,0,2018
2018_01_WAS_ARI,10,0.53674705414830515,0.56605877769573432,0.64617073535919178,0.73053377256484664,0,2018
2018_01_DAL_CAR,11,0.50460177009594154,0.65762966277219481,0.68480747938156117,0.67402556862781415,1,2018
2018_01_SEA_DEN,12,0.34731307577541298,0.43563348318348338,0.2218429297208786,0.24749164719491321,1,2018
2018_01_CHI_GB,13,0.67601101281807185,0.59650440311322694,0.57981449365615845,0.58281891109515771,1,2018
2018_01_NYJ_DET,14,0.80871107149294608,0.82444841269841285,0.74492251873016346,0.82108711437707205,0,2018
2018_01_LA_OAK,15,0.53064065244562875,0.51512222191631851,0.50963467359542836,0.4863032935109794,0,2018
2018_02_BAL_CIN,16,0.3879257806333507,0.37413734043734043,0.1665924191474914,0.23842115300348621,1,2018
2018_02_CAR_ATL,17,0.70848652898660402,0.63236956964604052,0.72897285223007202,0.66867422208519633,1,2018
2018_02_LAC_BUF,18,0.3009106802125342,0.41356056166056149,0.27615398168563843,0.28889995762553577,0,2018
2018_02_MIN_GB,19,0.50468628246767555,0.16746605616605631,0.18013772368431091,0.092305852470292604,0,2018
2018_02_CLE_NO,20,0.87008610277229192,0.89637977577977623,0.8898201584815979,0.95294193417641559,1,2018
2018_02_MIA_NYJ,21,0.51785194975280247,0.5863722555734775,0.49383080005645752,0.52736450904990995,0,2018
2018_02_KC_PIT,22,0.71071963800192517,0.55752401035497001,0.51076984405517567,0.52739473236018253,0,2018
2018_02_PHI_TB,23,0.50676150534347775,0.51982950937950911,0.45577013492584217,0.45385896556685179,1,2018
2018_02_HOU_TEN,24,0.67750934018063147,0.76003896103896096,0.80058580636978138,0.8148426195885613,1,2018
2018_02_IND_WAS,25,0.78202036395900931,0.77554372653490311,0.85760205984115601,0.82432679199282277,0,2018
2018_02_ARI_LA,26,0.80669819299151002,0.81907954822954843,0.83916527032852173,0.86430430778764356,1,2018
2018_02_DET_SF,27,0.55272742126187946,0.56530139194139195,0.6239311695098877,0.57262553745012668,1,2018
2018_02_OAK_DEN,28,0.63647237559882885,0.50452873594793335,0.51102793216705322,0.54645485017833062,1,2018
2018_02_NE_JAX,29,0.30639478836643591,0.401066860916861,0.44594267010688782,0.39716424438459969,1,2018
2018_02_NYG_DAL,30,0.78687749190179734,0.78898228715728713,0.66047871112823475,0.76867312939325516,1,2018
2018_02_SEA_CHI,31,0.33834517445185669,0.4629241090350999,0.36426842212677002,0.29268804176183882,1,2018
2018_03_NYJ_CLE,32,0.2902322675386983,0.3970188910833411,0.40723201632499689,0.39385403890921161,1,2018
2018_03_NO_ATL,33,0.62429977352572041,0.62484958850974937,0.56203055381774902,0.66504379840558858,0,2018
2018_03_DEN_BAL,34,0.79473783488580085,0.73678479298479294,0.79568707942962635,0.74671096284101157,1,2018
2018_03_CIN_CAR,35,0.60224421012479024,0.64773365293099328,0.61930191516876221,0.603930934933541,1,2018
2018_03_NYG_HOU,36,0.65702659455120793,0.4994330058830061,0.46275213360786432,0.53258625863106202,0,2018
2018_03_TEN_JAX,37,0.6568943483934343,0.7196917526917529,0.71304196119308472,0.74357988508504413,0,2018
2018_03_SF_KC,38,0.80362885927427008,0.83380974025973975,0.85564976930618275,0.78135894133982342,1,2018
2018_03_OAK_MIA,39,0.59409451855626694,0.63825309912857531,0.5490041971206665,0.64139903294476663,1,2018
2018_03_BUF_MIN,40,0.82212107250145183,0.87898206238206278,0.85360062122344971,0.86809151396472883,0,2018
2018_03_IND_PHI,41,0.78080199927209792,0.58006537623023735,0.6791149377822876,0.550395755029082,1,2018
2018_03_GB_WAS,42,0.64555861249248725,0.60256140019400961,0.75572001934051514,0.73409896368842287,1,2018
2018_03_LAC_LA,43,0.6480247719982275,0.46352630147630092,0.4183014035224914,0.46976006653183178,1,2018
2018_03_CHI_ARI,44,0.43617014242455399,0.40731948606948631,0.46274182200431818,0.4413742379615202,0,2018
2018_03_DAL_SEA,45,0.61901348563897451,0.57297651792651805,0.64566910266876221,0.59699081401614895,1,2018
2018_03_NE_DET,46,0.27714797322424861,0.20379285159285171,0.1886366605758667,0.19666335062807261,1,2018
2018_03_PIT_TB,47,0.53235309719212731,0.44621615476027199,0.39149338006973261,0.38809634341207172,0,2018
2018_04_MIN_LA,48,0.76468257583832011,0.63989177489177396,0.48963415622711182,0.62705310929991864,1,2018
2018_04_CIN_ATL,49,0.66297635849289627,0.65757558552558537,0.67117017507553101,0.71467239811578642,0,2018
2018_04_TB_CHI,50,0.32835319425878262,0.4889449883449884,0.4887796938419342,0.52719263470815092,1,2018
2018_04_DET_DAL,51,0.54001328968297768,0.52287428903721445,0.2836336195468902,0.44894537280971453,1,2018
2018_04_BUF_GB,52,0.50088680019680831,0.54639137779284785,0.57486027479171753,0.61364120381231135,1,2018
2018_04_HOU_IND,53,0.61605294659831755,0.7302968586968589,0.84262067079544056,0.72431353188394187,0,2018
2018_04_NYJ_JAX,54,0.65963150194549702,0.77646645315468943,0.71962660551071156,0.79191878543582606,1,2018
2018_04_MIA_NE,55,0.72079582030353517,0.62179918791525912,0.67765527963638295,0.6791463234880879,1,2018
2018_04_PHI_TEN,56,0.45058863570702001,0.50674052219710142,0.64315050840377797,0.52736934822322545,1,2018
2018_04_SEA_ARI,57,0.30575066857163541,0.35712319347319321,0.28099888563156122,0.26710886241312598,0,2018
2018_04_CLE_OAK,58,0.6571079949580404,0.56736723718978888,0.7608647346496582,0.74179094740282026,1,2018
2018_04_SF_LAC,59,0.74258530923118571,0.6542325458568492,0.71297979354858387,0.69953785669924118,1,2018
2018_04_NO_NYG,60,0.2032284489431348,0.31535555555555522,0.29779684543609608,0.3923742013124718,0,2018
2018_04_BAL_PIT,61,0.63954822421589663,0.63863341979657762,0.64228087663650513,0.58813187289587787,0,2018
2018_04_KC_DEN,62,0.23792977306350691,0.31638135198135242,0.48884102702140803,0.65759756182382023,0,2018
2018_05_IND_NE,63,0.84565883653560114,0.76671000666000688,0.6024482250213623,0.60054828560834284,1,2018
2018_05_TEN_BUF,64,0.58195901401264205,0.4514166777666781,0.46700286865234369,0.46651577892428592,1,2018
2018_05_NYG_CAR,65,0.83421402013598522,0.80256385836385802,0.88078171014785755,0.81572846363119267,1,2018
2018_05_MIA_CIN,66,0.65668188169785136,0.61047490953490935,0.60369277000427235,0.66486387042558848,1,2018
2018_05_BAL_CLE,67,0.1776161899656421,0.1166300310800311,0.092723354697227395,0.071852829210083402,1,2018
2018_05_GB_DET,68,0.5692339616490435,0.61308650345427962,0.65212404727935791,0.68584753549867916,1,2018
2018_05_JAX_KC,69,0.82694162005941763,0.6957894660894659,0.86038362979888905,0.71687703371656653,1,2018
2018_05_DEN_NYJ,70,0.54792100211418415,0.4871095793095796,0.62185603380203236,0.64838010098937815,1,2018
2018_05_ATL_PIT,71,0.60966933543255741,0.60308345589683343,0.66435450315475464,0.61662241642242355,1,2018
2018_05_OAK_LAC,72,0.70195218309668472,0.63819625626868093,0.69657433032989502,0.72485833933896693,1,2018
2018_05_MIN_PHI,73,0.53472672152928746,0.57141827061827077,0.50144499540328968,0.55159011978129602,0,2018
2018_05_LA_SEA,74,0.36202598153594823,0.32318426573426562,0.24241107702255241,0.193312783250428,0,2018
2018_05_ARI_SF,75,0.65371336803064251,0.66976327561327575,0.68161040544509877,0.55097398584497803,0,2018
2018_05_DAL_HOU,76,0.4376699625600971,0.4629397667863609,0.62259793281555165,0.55515199929470083,1,2018
2018_05_WAS_NO,77,0.74040454359865326,0.73985015540015497,0.8467181921005249,0.78197014386319508,1,2018
2018_06_PHI_NYG,78,0.34020431187818539,0.45369477031396471,0.53733170032501221,0.45724342093355003,0,2018
2018_06_TB_ATL,79,0.54535513475941622,0.55296543418852451,0.50639086961746205,0.54514819681695192,1,2018
2018_06_PIT_CIN,80,0.54408516696280074,0.42068035853035851,0.4754447340965271,0.53143495013114805,0,2018
2018_06_LAC_CLE,81,0.22360308923584779,0.2516176046176048,0.19035573303699491,0.21000948435504671,0,2018
2018_06_BUF_HOU,82,0.49308725474256621,0.49603235711656751,0.4499410986900329,0.51640257514838261,1,2018
2018_06_CHI_MIA,83,0.41699263774479511,0.51434679764679792,0.69015610218048085,0.53362866459500813,1,2018
2018_06_ARI_MIN,84,0.79912987460714657,0.73743571983571976,0.73542004823684692,0.78813137810008516,1,2018
2018_06_IND_NYJ,85,0.53703225228328644,0.46165648795648778,0.29643344879150391,0.29669070566951911,1,2018
