sample,arm,intercept,slope,converged
2022_2024,FST,0.09772300313056409,1.1262586986315575,False
2022_2024,RAW_A0,-0.14072594885140416,1.3929585508825941,False
2022_2024,RAW_B0,0.044680520844748314,1.1999719897856442,False
2022_2024,MARKET_BENCHMARK,-0.028307424082516845,1.1673233226650683,True
2022_2024,FST_PLUS_A0,0.09782919586446884,1.1261166841303187,True
2025_non_pristine,FST_PLUS_A0,0.03693487367632106,0.9068234473789013,True
2022_2024,FST_PLUS_B0,0.09778303207743369,1.126058372307483,True
2025_non_pristine,FST_PLUS_B0,0.0367346890158963,0.9067491838333716,True
2022_2024,FST_PLUS_A0_PLUS_B0,0.09788902521601482,1.1259169586797482,True
2025_non_pristine,FST_PLUS_A0_PLUS_B0,0.03695165003388736,0.9066173256603001,True
2022_2024,PRIMARY_COMPACT_FOOTBALL,0.09794191203795367,1.1258145760960958,False
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,0.0369403738304886,0.9066190884638999,True
2022_2024,MARKET_AWARE_DIAGNOSTIC,0.09810251407480602,1.1256340235805136,True
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,0.03715375727310521,0.9066556613418763,True
2025_non_pristine,FST,0.03671771258858012,0.9069562943385716,True
2025_non_pristine,RAW_A0,-0.08030771818041002,0.9929229922280995,True
2025_non_pristine,RAW_B0,-0.03023270909854995,1.3793486477045935,True
2025_non_pristine,MARKET_BENCHMARK,-0.03415413747686919,0.984739844846556,True
