sample,arm,bin,lower,upper,games,mean_probability,home_win_rate
2022_2024,FST_PLUS_B0,9,0.9,1.0,2,0.9270700826161342,1.0
2025_non_pristine,FST_PLUS_B0,0,0.0,0.1,1,0.08417911288381347,0.0
2025_non_pristine,FST_PLUS_B0,1,0.1,0.2,18,0.16596209333748327,0.16666666666666666
2025_non_pristine,FST_PLUS_B0,2,0.2,0.30000000000000004,29,0.25736951034660577,0.27586206896551724
2025_non_pristine,FST_PLUS_B0,3,0.30000000000000004,0.4,36,0.355660167069552,0.4166666666666667
2025_non_pristine,FST_PLUS_B0,4,0.4,0.5,37,0.44724118083666364,0.4864864864864865
2025_non_pristine,FST_PLUS_B0,5,0.5,0.6000000000000001,44,0.5594032649149837,0.5227272727272727
2025_non_pristine,FST_PLUS_B0,6,0.6000000000000001,0.7000000000000001,41,0.6484874402017247,0.6097560975609756
2025_non_pristine,FST_PLUS_B0,7,0.7000000000000001,0.8,34,0.7507977344519398,0.7058823529411765
2025_non_pristine,FST_PLUS_B0,8,0.8,0.9,27,0.8601301263416354,0.9259259259259259
2025_non_pristine,FST_PLUS_B0,9,0.9,1.0,5,0.9144493344051261,1.0
2022_2024,FST_PLUS_A0_PLUS_B0,0,0.0,0.1,1,0.06958415156882598,0.0
2022_2024,FST_PLUS_A0_PLUS_B0,1,0.1,0.2,25,0.15934416441585472,0.2
2022_2024,FST_PLUS_A0_PLUS_B0,2,0.2,0.30000000000000004,70,0.2546318304793687,0.2857142857142857
2022_2024,FST_PLUS_A0_PLUS_B0,3,0.30000000000000004,0.4,134,0.35596279936189407,0.30597014925373134
2022_2024,FST_PLUS_A0_PLUS_B0,4,0.4,0.5,109,0.44562875612801955,0.42201834862385323
2022_2024,FST_PLUS_A0_PLUS_B0,5,0.5,0.6000000000000001,189,0.5554174941688526,0.6455026455026455
2022_2024,FST_PLUS_A0_PLUS_B0,6,0.6000000000000001,0.7000000000000001,136,0.6461319201411806,0.6764705882352942
2022_2024,FST_PLUS_A0_PLUS_B0,7,0.7000000000000001,0.8,109,0.7456990757150829,0.7706422018348624
2022_2024,FST_PLUS_A0_PLUS_B0,8,0.8,0.9,40,0.852367471076448,0.875
2022_2024,FST_PLUS_A0_PLUS_B0,9,0.9,1.0,2,0.9270829672003416,1.0
2025_non_pristine,FST_PLUS_A0_PLUS_B0,0,0.0,0.1,1,0.0841028764414131,0.0
2025_non_pristine,FST_PLUS_A0_PLUS_B0,1,0.1,0.2,18,0.16589973315336612,0.16666666666666666
2025_non_pristine,FST_PLUS_A0_PLUS_B0,2,0.2,0.30000000000000004,29,0.25730139723599454,0.27586206896551724
2025_non_pristine,FST_PLUS_A0_PLUS_B0,3,0.30000000000000004,0.4,36,0.3555948134084146,0.4166666666666667
2025_non_pristine,FST_PLUS_A0_PLUS_B0,4,0.4,0.5,37,0.44717454830072495,0.4864864864864865
2025_non_pristine,FST_PLUS_A0_PLUS_B0,5,0.5,0.6000000000000001,44,0.5593484814705284,0.5227272727272727
2025_non_pristine,FST_PLUS_A0_PLUS_B0,6,0.6000000000000001,0.7000000000000001,41,0.6484417298056837,0.6097560975609756
2025_non_pristine,FST_PLUS_A0_PLUS_B0,7,0.7000000000000001,0.8,34,0.7507806624070861,0.7058823529411765
2025_non_pristine,FST_PLUS_A0_PLUS_B0,8,0.8,0.9,27,0.8601368815665524,0.9259259259259259
2025_non_pristine,FST_PLUS_A0_PLUS_B0,9,0.9,1.0,5,0.914472281715034,1.0
2022_2024,PRIMARY_COMPACT_FOOTBALL,0,0.0,0.1,1,0.0695990233744907,0.0
2022_2024,PRIMARY_COMPACT_FOOTBALL,1,0.1,0.2,25,0.15939797922353466,0.2
2022_2024,PRIMARY_COMPACT_FOOTBALL,2,0.2,0.30000000000000004,70,0.25464403276104197,0.2857142857142857
