game_id,season,week,home_team,away_team,home_win,fst_prob,market_prob,a0_home_win_probability,b0_home_win_probability,fst_confidence,component_prob_dispersion,fst_plus_a0_prob,fst_plus_b0_prob,fst_plus_a0_plus_b0_prob,primary_compact_football_prob,market_aware_diagnostic_prob
2025_01_ARI_NO,2025,1,NO,ARI,0,0.2679550680288717,0.2998379254457049,0.4324016607570473,0.5401499999999999,0.2320449319711283,0.11192381707626346,0.2678574760830014,0.2679282781865838,0.2678309557606635,0.2678023980764591,0.2677716669976747
2025_01_BAL_BUF,2025,1,BUF,BAL,1,0.42870601974583633,0.4572564612326043,0.5054941760212768,0.4895,0.07129398025416367,0.03307926951686524,0.42867071777203286,0.42868935171663886,0.4286541979113322,0.4286901227458166,0.42862441668273976
2025_01_CAR_JAX,2025,1,JAX,CAR,1,0.6457146966231834,0.644729178800233,0.6126279717605411,0.5338499999999999,0.14571469662318337,0.046921223043922454,0.6456148224684995,0.6457335338940935,0.6456335679623327,0.6456354602499021,0.6455716467586395
2025_01_CIN_CLE,2025,1,CLE,CIN,0,0.2980277141722882,0.3249687530045187,0.2898204652054079,0.3543,0.20197228582771182,0.028658020973788802,0.2979271975651113,0.29796586557288335,0.2978656079001352,0.2979163630066535,0.297925391642679
2025_01_DAL_PHI,2025,1,PHI,DAL,1,0.7780977663645359,0.7768331562167907,0.6996916360284087,0.63095,0.27809776636453587,0.0601159980040625,0.7780514995594903,0.7781448597875001,0.7780983671056589,0.778086752583195,0.7780388548668042
2025_01_DET_GB,2025,1,GB,DET,1,0.5139358711492016,0.5217391304347824,0.4769745886661394,0.55595,0.013935871149201584,0.03226356565890231,0.5138380008708252,0.5139490006078524,0.513851268971519,0.5139129842125294,0.5138585781925988
2025_01_HOU_LA,2025,1,LA,HOU,1,0.577412019946723,0.5996387718242023,0.6454548950003767,0.63305,0.07741201994672298,0.029588472023081992,0.5773526302018253,0.5774423707457614,0.5773829518923213,0.5774234842949464,0.5773729912632829
2025_01_KC_LAC,2025,1,LAC,KC,1,0.3454579137331285,0.3907637655417406,0.5752950510918391,0.5197499999999999,0.1545420862668715,0.09791611701706743,0.3453943892873257,0.34543418845120094,0.34537076942719835,0.34531991175289534,0.34527372971709325
2025_01_LV_NE,2025,1,NE,LV,0,0.5749873987492932,0.5829926410466066,0.5438103521228905,0.6042000000000001,0.07498739874929317,0.024658318134272588,0.5749490183905582,0.5750048073562355,0.5749664043468572,0.5750306955998866,0.574986283177758
2025_01_MIA_IND,2025,1,IND,MIA,1,0.4915690988406528,0.5043297540699688,0.4602945810549479,0.50905,0.008430901159347193,0.020168094287151182,0.49159900620341646,0.49156384695383576,0.49159384205598616,0.4916636831952243,0.4916277583388361
2025_01_MIN_CHI,2025,1,CHI,MIN,0,0.5014790250430297,0.4956702459300311,0.433690352729419,0.3903999999999999,0.001479025043029658,0.04571397614879044,0.5014276021328758,0.501442099850834,0.5013907270018397,0.5014063215605374,0.5013305723020555
2025_01_NYG_WAS,2025,1,WAS,NYG,1,0.7137487498539448,0.7179705215419498,0.7190205830063576,0.6722,0.21374874985394476,0.02093974910246532,0.7137562111813338,0.7137952876566882,0.7138025528379844,0.7138345659853224,0.7137557730663338
2025_01_PIT_NYJ,2025,1,NYJ,PIT,0,0.3849357628840062,0.4170073589533933,0.5362446955490356,0.43045,0.11506423711599378,0.06338459021524821,0.3848771685836718,0.38489167578429817,0.38483314843129457,0.3848104786810146,0.3847592183116313
2025_01_SF_SEA,2025,1,SEA,SF,0,0.4081524872673458,0.448558885283451,0.5234556966939728,0.5255500000000001,0.09184751273265418,0.05485474982597422,0.4080141125293945,0.40813856257433717,0.4080002631628096,0.4080130152721128,0.40798475702543574
2025_01_TB_ATL,2025,1,ATL,TB,0,0.485723646164408,0.4891657638136511,0.4249412254645724,0.4388,0.014276353835592004,0.02600939331839381,0.48572580071138477,0.48570262504125356,0.4857049480864187,0.4857589643070116,0.4856814778227409
2025_01_TEN_DEN,2025,1,DEN,TEN,1,0.7893107221639803,0.7867435158501441,0.7231142985137262,0.5992999999999999,0.28931072216398035,0.07875138203923605,0.7892544020304696,0.7893479222121758,0.7892913159955298,0.7892545534431815,0.7892047587795118
2025_02_ATL_MIN,2025,2,MIN,ATL,0,0.6013923047274045,0.6164383561643834,0.5779842795379578,0.60385,0.10139230472740446,0.011657193317352798,0.6012759610862813,0.6014217203704144,0.6013052909388955,0.6013753769418017,0.6013293336024408
2025_02_BUF_NYJ,2025,2,NYJ,BUF,0,0.2534843213283393,0.286448769739258,0.3832096649518688,0.3179,0.2465156786716607,0.05296056895160442,0.2533919932042469,0.25341651786677344,0.2533244301040708,0.2533200844004476,0.2532993014763437
2025_02_CAR_ARI,2025,2,ARI,CAR,1,0.7230301177163715,0.7257525083612038,0.6978804035168926,0.6311,0.2230301177163715,0.03879186192079811,0.7229488887013287,0.7230770851203878,0.7229956882273104,0.7230051410630378,0.7229471469931525
2025_02_CHI_DET,2025,2,DET,CHI,1,0.6779595972612298,0.7001620745542949,0.8043889131641258,0.6811999999999999,0.17795959726122978,0.05885045119825358,0.6779506297246682,0.6780143157867736,0.6780051389063744,0.6779759212782106,0.6778963336522262
2025_02_CLE_BAL,2025,2,BAL,CLE,1,0.8706161407331495,0.8630136986301368,0.8805172789612195,0.8570000000000001,0.3706161407331495,0.009640736696240187,0.8706052912970702,0.8706863908163142,0.8706753398632262,0.8706980947727162,0.8706293812214305
2025_02_DEN_IND,2025,2,IND,DEN,1,0.4406317917444824,0.4572564612326043,0.4745818498245868,0.5218499999999999,0.059368208255517585,0.03330545803932723,0.4406703919521597,0.4406159139032268,0.44065470148492875,0.4407057707684371,0.4406285900419374
2025_02_JAX_CIN,2025,2,CIN,JAX,1,0.6078800754314095,0.6309403437815974,0.6554380144836209,0.6109,0.10788007543140954,0.02174220740463902,0.6078573792873808,0.6079086840676734,0.6078858596254046,0.607926315493338,0.607864699908922
2025_02_LAC_LV,2025,2,LV,LAC,0,0.34168292334525374,0.3630958183058777,0.4127484863553137,0.41625,0.15831707665474626,0.03435569460248917,0.34162840088156854,0.3416366872627565,0.3415824101766149,0.3416163320765989,0.34155591258995727
2025_02_LA_TEN,2025,2,TEN,LA,0,0.29061733623056174,0.3146067415730335,0.4108813263736582,0.4155999999999999,0.20938266376943826,0.057837280795958707,0.29059521948053996,0.2905666090053001,0.2905447388437515,0.2905507917755754,0.2905088921371016
2025_02_NE_MIA,2025,2,MIA,NE,0,0.4959957347272319,0.5324675324675325,0.6709565940937073,0.5331,0.004004265272768093,0.0752717073502571,0.49589777806044194,0.4959887256562869,0.495890733924158,0.49584522714356455,0.49579192599673605
2025_02_NYG_DAL,2025,2,DAL,NYG,1,0.6682767753821215,0.6750312469954812,0.6694229031790988,0.7069,0.1682767753821215,0.017943119618930692,0.668266121980167,0.6683277556199342,0.6683170062812599,0.6683770025195842,0.6683397912306589
2025_02_PHI_KC,2025,2,KC,PHI,0,0.46365613664140815,0.47391341473828,0.4779184289947369,0.4654999999999999,0.036343863358591855,0.006333598187043637,0.4635728648960132,0.46363298954146365,0.46354985102366153,0.4636213872712134,0.46353854196343974
2025_02_SEA_PIT,2025,2,PIT,SEA,0,0.6338770231984965,0.6309403437815974,0.5583864001460198,0.543,0.13387702319849648,0.039713150388091596,0.6338639739190997,0.6338912498405472,0.6338781107981301,0.6339031588484251,0.633840936855099
2025_02_SF_NO,2025,2,NO,SF,0,0.3875427841008292,0.4003612281757977,0.4266434740104058,0.5226,0.11245721589917079,0.05674207766320211,0.3874467624625034,0.3875207530215054,0.3874248820948686,0.38745611056678264,0.3874091954484553
2025_02_TB_HOU,2025,2,HOU,TB,0,0.5627372155051612,0.551441114716549,0.3730491114728046,0.4024,0.0627372155051612,0.08336737580977512,0.5626955945247624,0.5627156431359112,0.5626740724128622,0.5626592220903446,0.5626310209347776
2025_02_WAS_GB,2025,2,GB,WAS,1,0.6115234659794949,0.6224665518611737,0.6268023357830823,0.6377499999999999,0.11152346597949492,0.010755496274567197,0.611407920682428,0.611564901780301,0.6114493046761091,0.6115161890440848,0.6114462350629486
2025_03_ARI_SF,2025,3,SF,ARI,1,0.513928218498267,0.5324675324675325,0.5618109517509167,0.552,0.013928218498266975,0.02065179966524016,0.5138820067789533,0.5139373953479842,0.5138912894665152,0.5139463027327628,0.513887117791198
2025_03_ATL_CAR,2025,3,CAR,ATL,1,0.3112896463532031,0.336351875808538,0.4652471628922092,0.4572,0.1887103536467969,0.0707558439131869,0.3112298880984807,0.3112479712001867,0.3111884114650103,0.3111785664189845,0.3111159590180922
2025_03_CIN_MIN,2025,3,MIN,CIN,1,0.6048549735818561,0.593369754159424,0.4763292831960481,0.57435,0.10485497358185614,0.054830514036071865,0.6047691341419014,0.6048748855797974,0.6047890035415493,0.604823373815137,0.6047679338167125
2025_03_DAL_CHI,2025,3,CHI,DAL,1,0.454945799886361,0.4675324675324675,0.4754201134241727,0.4124,0.045054200113638976,0.026248549798693614,0.454822941216142,0.45491130448757533,0.45478847938653383,0.45482263659395256,0.45477021581353855
2025_03_DEN_LAC,2025,3,LAC,DEN,1,0.5759485991774296,0.5829926410466066,0.5563172055083822,0.5964,0.07594859917742958,0.01636487372138476,0.5759152373754711,0.5759679537397319,0.5759346004573875,0.5760041429332768,0.5759246092562819
2025_03_DET_BAL,2025,3,BAL,DET,0,0.6865302152162868,0.6805555555555554,0.5712921815062495,0.65205,0.18653021521628677,0.04829367902345755,0.6864848988904368,0.6865885673044736,0.6865432242017855,0.6865767849320399,0.686493960342754
2025_03_GB_CLE,2025,3,CLE,GB,1,0.183344018552267,0.2086383601756954,0.238093944733099,0.26585,0.316655981447733,0.03427858093043505,0.18329430378574485,0.1832733724711018,0.18322393689651997,0.18324910606296627,0.1832382145271852
2025_03_HOU_JAX,2025,3,JAX,HOU,1,0.509108365822847,0.5324675324675325,0.612610254694617,0.52425,0.00910836582284702,0.045642870558374245,0.5090714708979984,0.5091042644031054,0.5090674160226064,0.5090720264864914,0.5090239764421863
2025_03_IND_TEN,2025,3,TEN,IND,0,0.28979244554757433,0.3194444444444444,0.4504590093173254,0.4680499999999999,0.21020755445242567,0.08020733091054078,0.28968362148253207,0.2897510358443159,0.2896424530364041,0.28962788585622434,0.28958529478690337
2025_03_KC_NYG,2025,3,NYG,KC,0,0.23086993859044033,0.2664576802507837,0.4347500674351606,0.37,0.26913006140955964,0.08506001290489323,0.23083164785159632,0.23081200687681663,0.23077393231489102,0.23074162853605668,0.23072171800509295
2025_03_LA_PHI,2025,3,PHI,LA,1,0.6211830138728546,0.6369041816941223,0.6149155323244893,0.57305,0.12118301387285457,0.02136661764491614,0.6211288109739027,0.6212072148932061,0.6211528966438097,0.6211939924881453,0.6211397962427306
2025_03_LV_WAS,2025,3,WAS,LV,1,0.5574694036646096,0.5829926410466066,0.7077870824741913,0.61525,0.05746940366460962,0.061911328624456634,0.557442015790404,0.5574917941519741,0.557464333239533,0.5574444406711612,0.5574068138211637
2025_03_MIA_BUF,2025,3,BUF,MIA,1,0.8643540493578957,0.8524590163934425,0.6825967449456344,0.6983,0.3643540493578957,0.08223020344987356,0.8643851705356463,0.864406381681176,0.864437319304738,0.8644261728602127,0.8643875373807857
2025_03_NO_SEA,2025,3,SEA,NO,1,0.7555256305198299,0.7571884984025558,0.6453434151214474,0.5448500000000001,0.2555256305198299,0.08603827854042316,0.7554991738900595,0.7555552797564727,0.7555286182435613,0.7554877126385509,0.7554577614555437
2025_03_NYJ_TB,2025,3,TB,NYJ,1,0.7412826276491173,0.7440690150970523,0.7072732169509445,0.6863,0.24128262764911734,0.022655892509234422,0.741272827164338,0.7413371414985495,0.7413271579567186,0.741360638996595,0.7412816542110733
2025_03_PIT_NE,2025,3,NE,PIT,0,0.4609574445804622,0.4782608695652174,0.5151566030356172,0.51735,0.03904255541953783,0.02608209278037329,0.4609275307092105,0.4609427295317601,0.46091288644718037,0.4609631704728224,0.4608974358826346
2025_04_BAL_KC,2025,4,KC,BAL,1,0.41134358099105855,0.427940364439536,0.3922207548684809,0.40065,0.08865641900894145,0.007825083079529895,0.4112471365264843,0.4113016296909743,0.4112053912403117,0.4112769481585602,0.4112483642456301
2025_04_CAR_NE,2025,4,NE,CAR,1,0.7070038090234719,0.6957699520733485,0.5701898597488327,0.6020500000000001,0.20700380902347193,0.05845076492369263,0.7069302332271645,0.7070347789961229,0.7069610693616935,0.7069720764848784,0.7069202518460375
2025_04_CHI_LV,2025,4,LV,CHI,0,0.5143017464197829,0.5324675324675325,0.5514177617819243,0.5163500000000001,0.01430174641978288,0.017034415671696872,0.514276847130477,0.5142972486650129,0.5142723667346529,0.5143259027597793,0.5142810635971076
2025_04_CIN_DEN,2025,4,DEN,CIN,1,0.810345404817942,0.7913616398243045,0.6006916549046288,0.5631999999999999,0.31034540481794204,0.10875107670620317,0.8103234925492871,0.8103785490592333,0.8103564189026526,0.8103137696431297,0.810255490161252
2025_04_CLE_DET,2025,4,DET,CLE,1,0.8095577603408993,0.8118668596237336,0.8789484940676888,0.7617,0.3095577603408993,0.04813482051387887,0.809549490283772,0.8096302738390272,0.8096217511682424,0.8096013899237947,0.8095053400182963
