candidate_id,dimension,bucket,games,margin_mae,margin_bias,total_mae,total_bias
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,season,2025,272,10.494625151284229,0.09029168278588393,10.689184517665115,-2.1394824635558782
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,season_segment,weeks_1_4,64,9.066075268156704,2.8528350485040135,11.049122339475392,-1.314004393824017
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,season_segment,weeks_5_9,71,11.301665777232257,-1.02260675196656,9.799014378586671,-1.3960822318177744
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,season_segment,weeks_10_14,73,9.817383986681142,-1.2426847041984854,10.475769890438674,-3.1528669946686727
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,season_segment,weeks_15_plus,64,11.800342543376054,0.08279620952529398,11.560205253075154,-2.6337784345716675
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,favorite_size_abs,0-3,70,10.04167524074256,-1.1253053548656295,11.153254278324123,-3.0961948571944125
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,favorite_size_abs,3-7,119,9.525093888755993,-1.1150825573836984,11.169466483234313,-1.0654795489728845
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,favorite_size_abs,7-10,49,12.88656876854801,-0.3476499237466347,9.258421254098003,-2.9682634544849877
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,favorite_size_abs,10-14,24,12.42434338200851,7.485250057876384,11.166271651146914,-2.630296234145154
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,favorite_size_abs,14+,10,8.850849070831075,7.341438176156653,7.5910716739011574,-2.9841504866568704
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,model_market_disagreement,<2,121,9.172814443190152,-0.7511954708525385,10.631045604264258,-2.5259663962440517
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,model_market_disagreement,2-4,69,10.921797591150419,0.5197207847046328,9.49737796020945,-2.8320622333867775
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,model_market_disagreement,4-6,44,12.044707552616783,2.6410210283041233,11.710859408189064,-1.5239009842094824
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,model_market_disagreement,6-8,22,8.67107847983743,-0.7627338023152458,11.160219838434712,2.4299507586507567
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,model_market_disagreement,8+,16,16.893287553897565,-1.2394703780092535,12.811246314287619,-4.2057672139425275
