game_id,away_team,home_team,pick,from_timestamp_utc,to_timestamp_utc,final_home_delta_pp,pick_delta_pp,pure_delta_pp,fst_pure_delta_pp,market_delta_pp,legacy_final_delta_pp,model_component_pp,market_component_pp,residual_component_pp,attribution_scope,legacy_component_scope,margin_delta,total_delta,largest_driver
2026_02_DET_BUF,DET,BUF,BUF,2026-09-18T12:49:43.432815+00:00,2026-09-18T13:46:46.546823+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_GB_NYJ,GB,NYJ,GB,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_IND_KC,IND,KC,KC,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_JAX_DEN,JAX,DEN,DEN,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_LV_LAC,LV,LAC,LAC,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_MIA_SF,MIA,SF,SF,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_MIN_CHI,MIN,CHI,CHI,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_NO_BAL,NO,BAL,BAL,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_NYG_LA,NYG,LA,LA,2026-09-22T03:46:57.467610+00:00,2026-09-22T04:46:30.754899+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_PHI_TEN,PHI,TEN,PHI,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_PIT_NE,PIT,NE,NE,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_SEA_ARI,SEA,ARI,SEA,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_02_WAS_DAL,WAS,DAL,DAL,2026-09-21T20:45:19.463586+00:00,2026-09-21T21:44:17.633286+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_ARI_SF,ARI,SF,SF,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_ATL_GB,ATL,GB,GB,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.6044031603344435,0.6044031603344435,-1.1102230246251565e-14,0.0,0.4977069019280633,0.1244267254820075,-8.326672684688674e-15,0.12442672548201583,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,Market movement
2026_03_BAL_DAL,BAL,DAL,BAL,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,-0.8347027722409195,0.8347027722409195,2.7755575615628914e-14,0.0,-0.7202121706124276,-0.18005304265308886,2.0816681711721685e-14,-0.1800530426531069,-2.7755575615628914e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,-2.220446049250313e-16,0.0,Market movement
2026_03_CAR_CLE,CAR,CLE,CAR,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,-0.0,1.6653345369377348e-14,0.0,0.0,1.1102230246251565e-14,1.2490009027033011e-14,0.0,-1.3877787807814457e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_CIN_PIT,CIN,PIT,CIN,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,-0.0,1.1102230246251565e-14,0.0,0.0,1.1102230246251565e-14,8.326672684688674e-15,0.0,2.7755575615628914e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_HOU_IND,HOU,IND,HOU,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,-0.0,1.1102230246251565e-14,0.0,0.0,1.6653345369377348e-14,8.326672684688674e-15,0.0,8.326672684688674e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_KC_MIA,KC,MIA,KC,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_LAC_BUF,LAC,BUF,BUF,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_LA_DEN,LA,DEN,LA,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,-0.0,1.1102230246251565e-14,0.0,0.0,5.551115123125783e-15,8.326672684688674e-15,0.0,-2.7755575615628914e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_LV_NO,LV,NO,NO,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,-2.1316282072803006e-14,No material input move
2026_03_MIN_TB,MIN,TB,MIN,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,-0.0,1.1102230246251565e-14,0.0,0.0,1.1102230246251565e-14,8.326672684688674e-15,0.0,2.7755575615628914e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_NE_JAX,NE,JAX,JAX,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_NYJ_DET,NYJ,DET,DET,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_PHI_CHI,PHI,CHI,PHI,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,-0.0,2.220446049250313e-14,0.0,0.0,1.1102230246251565e-14,1.6653345369377348e-14,0.0,-5.551115123125783e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_SEA_WAS,SEA,WAS,SEA,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,-0.0,1.6653345369377348e-14,0.0,0.0,1.1102230246251565e-14,1.2490009027033011e-14,0.0,-1.3877787807814457e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
2026_03_TEN_NYG,TEN,NYG,NYG,2026-09-23T13:47:53.932582+00:00,2026-09-23T14:32:00.490380+00:00,0.0,0.0,1.1102230246251565e-14,0.0,0.0,0.0,8.326672684688674e-15,0.0,-8.326672684688674e-15,official_fst_inputs_plus_legacy_counterfactual,legacy_75_25_counterfactual_only,0.0,0.0,No material input move
