game_id,season,week,gameday,gametime,away_team,home_team,kickoff_utc,target_timestamp_utc,snapshot_timestamp_utc,minutes_to_kickoff_at_snapshot,staleness_minutes_vs_t120,no_lookahead,market_home_prob,pure_home_prob,final_home_prob,spread_line,total_line,snapshot_type,prediction_id,actual_home_score,actual_away_score,actual_home_win,graded
2026_01_ARI_LAC,2026,1,2026-09-13,16:25,ARI,LAC,2026-09-13T20:25:00+00:00,2026-09-13T18:25:00+00:00,2026-09-10T22:45:59.416857+00:00,4179.00971905,4059.00971905,True,0.7999999999999999,0.6549943690080919,0.6912457767560689,9.5,47.5,MARKET,2026_01_ARI_LAC__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_ATL_PIT,2026,1,2026-09-13,13:00,ATL,PIT,2026-09-13T17:00:00+00:00,2026-09-13T15:00:00+00:00,2026-09-10T22:45:59.416857+00:00,3974.00971905,3854.00971905,True,0.6690070210631895,0.6370387870468086,0.6450308455509038,5.5,41.5,MARKET,2026_01_ATL_PIT__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_BAL_IND,2026,1,2026-09-13,13:00,BAL,IND,2026-09-13T17:00:00+00:00,2026-09-13T15:00:00+00:00,2026-09-10T22:45:59.416857+00:00,3974.00971905,3854.00971905,True,0.3907637655417407,0.4214755493052646,0.4137976033643836,-3.5,47.5,MARKET,2026_01_BAL_IND__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_BUF_HOU,2026,1,2026-09-13,13:00,BUF,HOU,2026-09-13T17:00:00+00:00,2026-09-13T15:00:00+00:00,2026-09-10T22:45:59.416857+00:00,3974.00971905,3854.00971905,True,0.4739134147382802,0.5164722114057848,0.5058325122389087,-1.5,44.5,MARKET,2026_01_BUF_HOU__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_CHI_CAR,2026,1,2026-09-13,13:00,CHI,CAR,2026-09-13T17:00:00+00:00,2026-09-13T15:00:00+00:00,2026-09-10T22:45:59.416857+00:00,3974.00971905,3854.00971905,True,0.4066302458405761,0.4205393365607199,0.4170620638806839,-3.0,46.5,MARKET,2026_01_CHI_CAR__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_CLE_JAX,2026,1,2026-09-13,13:00,CLE,JAX,2026-09-13T17:00:00+00:00,2026-09-13T15:00:00+00:00,2026-09-10T22:45:59.416857+00:00,3974.00971905,3854.00971905,True,0.7913616398243045,0.7842376289706859,0.7860186316840906,8.5,39.5,MARKET,2026_01_CLE_JAX__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_DAL_NYG,2026,1,2026-09-13,20:20,DAL,NYG,2026-09-14T00:20:00+00:00,2026-09-13T22:20:00+00:00,2026-09-10T22:45:59.416857+00:00,4414.00971905,4294.00971905,True,0.4066302458405761,0.4707117330646915,0.4546913612586626,-3.0,48.5,MARKET,2026_01_DAL_NYG__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_DEN_KC,2026,1,2026-09-14,20:15,DEN,KC,2026-09-15T00:15:00+00:00,2026-09-14T22:15:00+00:00,2026-09-10T22:45:59.416857+00:00,5849.00971905,5729.00971905,True,0.5720596355604638,0.3196059920236971,0.3827194029078887,2.5,43.5,MARKET,2026_01_DEN_KC__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_GB_MIN,2026,1,2026-09-13,16:25,GB,MIN,2026-09-13T20:25:00+00:00,2026-09-13T18:25:00+00:00,2026-09-10T22:45:59.416857+00:00,4179.00971905,4059.00971905,True,0.5260865852617197,0.6184473636189435,0.5953571690296375,1.5,46.5,MARKET,2026_01_GB_MIN__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_MIA_LV,2026,1,2026-09-13,16:25,MIA,LV,2026-09-13T20:25:00+00:00,2026-09-13T18:25:00+00:00,2026-09-10T22:45:59.416857+00:00,4179.00971905,4059.00971905,True,0.6037569709421778,0.3629988401861893,0.4231883728751864,3.0,40.5,MARKET,2026_01_MIA_LV__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_NE_SEA,2026,1,2026-09-09,20:20,NE,SEA,2026-09-10T00:20:00+00:00,2026-09-09T22:20:00+00:00,2026-09-09T21:45:26.116558+00:00,154.56472403333333,34.56472403333333,True,0.5996387718242023,0.6043603621246422,0.6031799645495323,3.0,44.5,MARKET,2026_01_NE_SEA__MARKET__2026-09-09T21:45:26.116558+00:00,13.0,10.0,True,True
2026_01_NO_DET,2026,1,2026-09-13,13:00,NO,DET,2026-09-13T17:00:00+00:00,2026-09-13T15:00:00+00:00,2026-09-10T22:45:59.416857+00:00,3974.00971905,3854.00971905,True,0.7220792588780237,0.5829913186606467,0.617763303714991,7.0,50.5,MARKET,2026_01_NO_DET__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_NYJ_TEN,2026,1,2026-09-13,13:00,NYJ,TEN,2026-09-13T17:00:00+00:00,2026-09-13T15:00:00+00:00,2026-09-10T22:45:59.416857+00:00,3974.00971905,3854.00971905,True,0.5324675324675325,0.5727870025856951,0.5627071350561546,1.5,38.5,MARKET,2026_01_NYJ_TEN__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_SF_LA,2026,1,2026-09-10,20:35,SF,LA,2026-09-11T00:35:00+00:00,2026-09-10T22:35:00+00:00,2026-09-10T21:45:12.042260+00:00,169.79929566666667,49.799295666666666,True,0.6369041816941223,0.610007812004758,0.616731904427099,3.5,48.5,MARKET,2026_01_SF_LA__MARKET__2026-09-10T21:45:12.042260+00:00,,,,False
2026_01_TB_CIN,2026,1,2026-09-13,13:00,TB,CIN,2026-09-13T17:00:00+00:00,2026-09-13T15:00:00+00:00,2026-09-10T22:45:59.416857+00:00,3974.00971905,3854.00971905,True,0.6369041816941223,0.657183438408778,0.6521136242301141,3.5,50.5,MARKET,2026_01_TB_CIN__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
2026_01_WAS_PHI,2026,1,2026-09-13,16:25,WAS,PHI,2026-09-13T20:25:00+00:00,2026-09-13T18:25:00+00:00,2026-09-10T22:45:59.416857+00:00,4179.00971905,4059.00971905,True,0.6574752261956054,0.6800051798147821,0.6743726914099879,5.5,44.5,MARKET,2026_01_WAS_PHI__MARKET__2026-09-10T22:45:59.416857+00:00,,,,False
