model,games,winner_pct,brier,log_loss,margin_mae,total_mae,status,brier_rank
Market,1087,0.6761729530818767,0.2101992905677052,0.6076472081285538,9.494480220791168,10.189052437902484,Closing-line benchmark,1
Final Ensemble,1087,0.6642134314627415,0.21831539675936654,0.6268196612315694,10.015636029669372,10.787666193819076,PURE + market blend; OOS 2022–25,2
Sujar Baseline,1087,0.641214351425943,0.22310492154766412,0.6374304198650537,,,Walk-forward OOS 2022–25,3
Core Sujar+,1087,0.6458141674333027,0.22386246498798118,0.6391115734614241,10.015636029669372,10.787666193819076,Walk-forward OOS 2022–25,4
Elo+,1087,0.6301747930082797,0.22403437805274562,0.6395716345880962,,,Independent benchmark,5
Logistic,1087,0.6237350505979761,0.2241965987194082,0.6400480381954422,,,Walk-forward OOS 2022–25,6
Extra Trees,1087,0.6393744250229991,0.22637134526584196,0.6465425216279447,,,Walk-forward OOS 2022–25,7
CatBoost,1087,0.6310947562097516,0.22882630294635647,0.651492757604751,,,Walk-forward OOS 2022–25,8
XGBoost,1087,0.6292548298068077,0.23007526993751526,0.6553428173065186,,,Walk-forward OOS 2022–25,9
